"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6031,79401708.1728466,79396579.6129899,1953,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BFA",0.999935409955596
6039,2826782998.45007,112164.541708877,1954,FALSE,2,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",3.96792190169451e-05
6039,2826782998.45007,5569.10764538495,1955,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",1.97012209583774e-06
6039,2826782998.45007,2236.14450112035,1957,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",7.91056300517738e-07
6039,2826782998.45007,2826634305.02944,1961,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",0.999947398360358
6040,4938294742.23114,1865446704.27469,1942,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",0.377751187737303
6040,4938294742.23114,1176869501.20859,1946,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",0.238314957417238
6040,4938294742.23114,1895878566.67435,1949,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","BEN",0.383913611000421
6090,11430114769.5839,11311615970.1652,1968,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","CIV",0.989632755067857
6335,1885178401.38434,1843191043.17881,1971,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.977727647327859
6618,3285868931.53605,3223339037.669,1989,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","MLI",0.980970058401625
6915,1196079280.90649,760783552.159435,1977,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","TGO",0.636064485276304
6915,1196079280.90649,261576221.553108,1995,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","TGO",0.218694718426077
24267,366505427.780427,63583001.2023172,1975,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.173484473578955
6326,21851233.3101719,0,0,FALSE,0,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0
22287,248821662.326182,4236.41093365848,1925,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",1.70258927380082e-05
22287,248821662.326182,4332133.46646065,1927,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0174105961111281
22287,248821662.326182,2071220.53959727,1928,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.00832411663933865
22287,248821662.326182,12819463.7380468,1929,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0515206900323721
22287,248821662.326182,133813645.806355,1935,FALSE,3,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.537789373141225
6339,3425662.97371794,1992790.23587918,1971,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.581723961512877
22289,9217995.36673355,637219.439004838,1962,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0691277673348019
6312,211106814.347665,169167466.700662,1926,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.801335888769871
6312,211106814.347665,15294891.2489416,1957,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0724509594643066
6313,341148356.417088,22.1774794893281,1965,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",6.50083140433306e-08
6313,341148356.417088,303527841.945278,1974,FALSE,2,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.889723887674794
6315,305304282.897072,3202750.63412907,1929,TRUE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0104903560596588
6315,305304282.897072,279058834.384443,1932,TRUE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.914035111910049
6315,305304282.897072,266223.617669284,1943,TRUE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.000871994376046919
6315,305304282.897072,21820.8521547616,1977,TRUE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",7.14724731264843e-05
6316,75458824.2584308,63175904.1680944,1931,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.837223542626771
6319,150315178.626673,139132694.93149,1977,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.925606423799981
6330,141051340.452118,125969500.404217,1935,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.893075528388748
6330,141051340.452118,3694838.75379935,1967,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0261949921351766
6331,207865349.590335,18973735.6884928,1930,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0912789732674858
6331,207865349.590335,23460.2229599953,1935,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.000112862595936413
6331,207865349.590335,182179400.800991,1967,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.876429867508143
6333,430607902.243887,353941529.988362,1929,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.821957813927664
6333,430607902.243887,6352964.49924421,1938,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0147534786661812
6334,211389050.507691,5631338.02038363,1930,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.0266396864305833
6334,211389050.507691,184170562.291251,1932,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.871239838813461
6334,211389050.507691,668248.774734024,1967,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.00316122700361773
6916,2153368825.76088,2066959235.23066,1951,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","TGO",0.95987236858986
6916,2153368825.76088,9597.84260643646,2003,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","TGO",4.45712898395152e-06
24265,218814297.512712,671940.949759799,1951,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.00307082744316907
24265,218814297.512712,214604998.183212,2003,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","GHA",0.980763143097377
6917,12252664.7252319,8222870.12032546,1953,FALSE,1,"18171","BFA;BEN;CIV;GHA;MLI;TGO","Volta Highlands","TGO",0.671108718366555
