"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44600,76891209.5338862,2387352.09506581,1928,FALSE,1,"13774","NZL","Saint James Range","NZL",TRUE,"11453;11827;13770;13766;13772;13773;13774;13775;13902",TRUE,"",0.0310484398611742
44600,76891209.5338862,61699.5110494951,1988,FALSE,1,"13774","NZL","Saint James Range","NZL",TRUE,"11453;11827;13770;13766;13772;13773;13774;13775;13902",TRUE,"",0.000802426069553554
44600,76891209.5338862,9020591.54189061,2008,FALSE,2,"13774","NZL","Saint James Range","NZL",TRUE,"11453;11827;13770;13766;13772;13773;13774;13775;13902",TRUE,"",0.117316291375482
