"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
28280,20961918.3502476,20948558.9672835,1978,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",FALSE,"13140",TRUE,"",0.999362683188584
27403,9540614553.19634,29630.1885664091,1928,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",3.10568972273198e-06
27403,9540614553.19634,42860.1612321357,1933,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",4.4923899810811e-06
27403,9540614553.19634,13192.1706011146,1957,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",1.38273803302272e-06
27403,9540614553.19634,308076.396485277,1960,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",3.2291043178352e-05
27403,9540614553.19634,3468988.07454398,1978,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.000363602161600983
27403,9540614553.19634,3472888.46233642,1987,FALSE,13,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.000364010980945972
27403,9540614553.19634,626686762.984056,1990,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.0656862049598368
27403,9540614553.19634,11254250.539045,1993,FALSE,5,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.0011796148430789
27403,9540614553.19634,NA,1995,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",NA
27403,9540614553.19634,3790.78698187042,1996,FALSE,1,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",3.97331530451612e-07
27403,9540614553.19634,8750520.29206783,2005,FALSE,8,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.000917186229804892
27403,9540614553.19634,52413065.293462,2014,FALSE,3,"13140","NZL","Dark Cloud Range","NZL",TRUE,"11196;11473;12873;13140;13141;13142;13149;13150;13153;13559;13563;13565;13568;13571;13573;13575;13578;13580;13584;13585;13586;13588;13590;13591;13593;13610;13615;13620;13627;13630;13631;13632;13651;13663;13667;13867;13901;20803",TRUE,"",0.00549367810650126
