"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
26112,2942120071.19971,49159119.7471271,1962,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.0167087401457009
26112,2942120071.19971,39462406.477806,1963,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.0134129150146188
26112,2942120071.19971,14455509.7508621,1972,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.00491329701067149
26112,2942120071.19971,75797771.4691818,1975,TRUE,2,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.0257629769128606
26112,2942120071.19971,331365548.200563,1976,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.112628152550362
26112,2942120071.19971,9823140.29283394,1984,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.00333879653281056
26112,2942120071.19971,348441.684435297,1985,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.000118432176798689
26112,2942120071.19971,42923224.0939095,2000,TRUE,2,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.0145892156183845
26112,2942120071.19971,2322356.95232499,2001,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.000789348121804559
26112,2942120071.19971,1057659.11240113,2004,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.000359488765517937
26112,2942120071.19971,971.725855000317,2005,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",3.30280828614882e-07
26112,2942120071.19971,5697833.94808483,2009,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.00193664222064242
26112,2942120071.19971,299555.916648149,2010,TRUE,1,"15987","USA","South Central Virginia Blue Ridge","USA",TRUE,"15936;15944;15982;15983;15984;15985;15986;15987;19639",TRUE,"",0.00010181634651165
