"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
29594,3576743354.81751,929071384.438792,1926,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.259753438330269
29594,3576743354.81751,32758041.1300017,1975,FALSE,7,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.00915862221030758
29594,3576743354.81751,558.117978677154,1980,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",1.56040823540058e-07
29594,3576743354.81751,735.774686456998,1983,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",2.05710785892978e-07
29594,3576743354.81751,97898525.1195229,1984,FALSE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.0273708553865525
29594,3576743354.81751,2711617.35859776,1985,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.000758124665261623
29594,3576743354.81751,123070048.089003,1986,FALSE,5,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.034408408957618
29594,3576743354.81751,1259667517.94064,1988,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.352182807928893
29594,3576743354.81751,1030601376.177,1996,FALSE,3,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",0.288139593462551
29594,3576743354.81751,224.124568007886,2001,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",6.26616298052286e-08
29594,3576743354.81751,353240.376856757,2003,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",9.87603363772182e-05
29594,3576743354.81751,23551.236021526,2005,FALSE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",6.58454736200318e-06
29594,3576743354.81751,0.000769078731536865,2007,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",2.1502206203892e-13
29594,3576743354.81751,8.79524984396994,2016,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15969;15976;15978;15981;15990;15994;15996;15997;16002;15980;15999;16001;19641;19643",TRUE,"",2.45901060586962e-09
