"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
24073,1090444331.18363,352788159.109997,1976,FALSE,1,"18445","RUS","Soyanski Range","RUS",TRUE,"18443;18445;18446;18451;18455;18456;18458;18466",TRUE,"",0.323526977967834
24073,1090444331.18363,877820.29472065,1993,FALSE,1,"18445","RUS","Soyanski Range","RUS",TRUE,"18443;18445;18446;18451;18455;18456;18458;18466",TRUE,"",0.000805011562367252
