"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
256,894136.756688982,561811.392537445,1978,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","LIE",0.628328260005607
256,894136.756688982,1475.11967311772,1991,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","LIE",0.00164976963767839
257,9232025.21023415,1561.54174554348,1975,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","LIE",0.000169144007948812
257,9232025.21023415,9101594.94291519,1989,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","LIE",0.985871976695388
1382,85000600.3804157,47042.9705172777,1980,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","HUN",0.000553442802835973
1382,85000600.3804157,2591088.58880198,1982,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","HUN",0.0304831798505622
1382,85000600.3804157,80968216.8360585,1989,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","HUN",0.952560528674968
2710,118643906.625843,34918985.8707034,1971,FALSE,2,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",0.294317566437057
2710,118643906.625843,83263200.6462335,1991,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",0.701790787358459
2711,1173295311.8512,704249963.032908,1922,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",0.600232487012803
2711,1173295311.8512,45294.0809337646,1963,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",3.86041608419116e-05
2711,1173295311.8512,93225.808123902,1988,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",7.94563885001913e-05
2711,1173295311.8512,57571553.1568094,1989,FALSE,1,"10001","LIE;HUN;ITA;AUT;CHE;DEU;FRA;SVN","European Alps","ITA",0.0490682546629921
