"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
3147,2195981.6514892,2195352.82678795,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999713647561298
32083,25555770.9635049,4379736.05157471,1984,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.171379531371964
3146,7464475.901618,7457581.4599914,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999076366282445
3140,11826226.8024925,11582166.6797359,1991,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.979362807188409
3151,6326155.38095009,6326151.87598801,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999999445957003
3181,36122662.075265,1901003.58876774,1984,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0526263425659719
3181,36122662.075265,2360743.51050957,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0653535308552492
3181,36122662.075265,7962578.87641747,2003,FALSE,8,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.220431674161408
3181,36122662.075265,330397.792611264,2011,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00914655160029038
3181,36122662.075265,1589619.85945839,2016,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0440061658840719
3149,4406444.41195881,4406059.76661301,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999912708453839
3148,7135796.4642254,7134938.54578126,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.99987977257361
3154,63763590.9497645,10524341.6841066,1995,FALSE,3,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.165052524918148
3154,63763590.9497645,39017.167194291,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.000611903542650699
3157,525955.404555082,525951.129611015,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999991872040804
3150,197618002.182716,229030.417890549,2007,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00115895523363701
3152,49772916.0728569,24435277.8890178,2004,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.490935227770254
3158,3940949.96370554,3550823.57263082,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.901007017427875
32080,60384724.7447989,14666181.8420258,2000,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.242879004649085
3164,88603463.7636156,31611235.464545,1983,FALSE,4,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.356772005537846
3164,88603463.7636156,8.66275775996627,1985,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",9.77699673579078e-08
3164,88603463.7636156,130493.226205528,2005,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00147277793285452
32098,52750647.608996,50764.9792868183,2000,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.000962357460767192
32098,52750647.608996,24005091.3686386,2013,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.455067235317597
32098,52750647.608996,73153.8323253788,2015,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00138678548304501
32075,25789450.3286934,12037520.197361,1996,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.466761409954055
32075,25789450.3286934,245278.479546666,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00951080679970014
3167,691406887.165924,269947296.62976,2009,FALSE,10,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.390431888430088
3167,691406887.165924,232376.221891832,2010,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.000336091853010521
3173,122704888.73106,11252956.8029008,2002,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0917074854903671
3153,7602220.99880302,7592507.83566056,2004,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.998722325601428
3143,9773520.08117557,9735249.7134304,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.996084280031422
32082,17902440.1845014,2668220.52660894,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.149042281337652
