"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1777,252364122.676045,66907925.0213815,2001,FALSE,2,"14966","ESP","Sierra de San Juan de la Peña y Peña Oroel","ESP",TRUE,"14966;17945;17948;17975",TRUE,"",0.265124552221989
1777,252364122.676045,72194193.7191402,2006,FALSE,4,"14966","ESP","Sierra de San Juan de la Peña y Peña Oroel","ESP",TRUE,"14966;17945;17948;17975",TRUE,"",0.286071541998918
1777,252364122.676045,3355477.60340864,2007,FALSE,1,"14966","ESP","Sierra de San Juan de la Peña y Peña Oroel","ESP",TRUE,"14966;17945;17948;17975",TRUE,"",0.0132961752559258
