"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
14342,1476897980.64288,6854306.11520789,1991,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.0046410152935711
14342,1476897980.64288,300581687.853375,2002,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.203522309457377
14342,1476897980.64288,1431614.09190703,2010,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.000969338512660066
14343,4909811532.69846,3582132315.89154,1984,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.729586521200495
14343,4909811532.69846,1189120074.01392,1998,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.242192610876119
14344,107410372.748117,80470926.7511197,1985,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.749191392714261
14345,684063486.301046,381098016.672314,1976,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.557109134318855
14345,684063486.301046,253297133.384789,2004,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",0.370283078189787
14346,1334426981.84439,124082.560656786,1998,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","NPL",9.29856502791067e-05
15196,650828636.62604,611439985.642013,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.939479228836301
15196,650828636.62604,3133011.61983766,1999,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00481388101801958
15197,4350868030.40719,4083578094.92285,1974,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.938566296744394
15197,4350868030.40719,3161984.54141517,1999,FALSE,3,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.000726747977487896
15197,4350868030.40719,101454404.534199,2008,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0233181985353631
15200,1730574768.15192,4194845.14394915,1966,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00242396065234952
15200,1730574768.15192,1698231680.97695,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.981310783116579
15201,1022994355.34216,6040119.76909626,1928,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00590435297863985
15201,1022994355.34216,1001675404.64277,1966,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.979160246009115
15202,784696280.327951,756387424.858991,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.96392380570846
15202,784696280.327951,1607283.5532521,1999,FALSE,2,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00204828746299188
15203,1184503994.30232,1150750683.53079,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.9715042659764
15204,307331727.851249,262078663.646584,1974,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.852754987189064
