"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
45103,312299648.684894,420.899377577007,1952,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",1.34774207831943e-06
45103,312299648.684894,177353345.304866,1964,FALSE,2,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",0.567894796077125
45103,312299648.684894,249.325681738555,1969,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",7.98354025656051e-07
45103,312299648.684894,0.951538905501366,1970,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",3.04687792480182e-09
45103,312299648.684894,47339209.1229059,1975,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",0.151582652501382
45103,312299648.684894,1401604.50999224,1977,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",0.00448801180499067
45103,312299648.684894,1548670.80874015,1978,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",0.00495892587539456
45103,312299648.684894,3.04759221362377,1980,FALSE,2,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",9.75855152721848e-09
45103,312299648.684894,3.01148544521857,1981,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",9.64293574424452e-09
45103,312299648.684894,12.8857862575132,1986,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",4.12609694304038e-08
45103,312299648.684894,3429136.67023532,2004,FALSE,1,"20812","JPN","Kiso Mountains","JPN",TRUE,"20975;20811;20812",TRUE,"",0.0109802770661944
