"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
12021,243112526.904268,161017217.187968,2006,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.662315592035998
12038,225363698.221319,194066506.568581,1962,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.861125851679969
12061,1058185279.86028,33487.7976754196,2002,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",3.16464406685389e-05
12061,1058185279.86028,214323598.73522,2007,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.202538820766358
15082,511367167.753827,479384607.18377,1978,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.937456757909311
15082,511367167.753827,41648.7219231129,1995,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",8.14458270875197e-05
15083,1057503751.04336,480516.65378809,1978,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.000454387658969529
15083,1057503751.04336,167048.018494755,1981,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.000157964468995917
15083,1057503751.04336,985012213.96223,1983,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.931450326289991
15084,544378650.305488,5286.88364888728,1978,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",9.71177625338622e-06
15084,544378650.305488,504136954.313476,2000,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.926077747594566
15087,791855609.053279,1397900.68514156,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00176534796136995
15087,791855609.053279,32965203.8127816,1994,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0416303217858037
15087,791855609.053279,657531798.701755,2007,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.83036830349397
15088,505074921.682171,390249855.178135,1994,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.772657359186222
15088,505074921.682171,76678762.7979791,2007,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.151816610776472
15089,428083562.22106,3797650.17788768,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00887128241547988
15089,428083562.22106,406393331.817098,1994,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.949331783982957
15089,428083562.22106,3297744.84817892,1999,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00770350730373521
15089,428083562.22106,40187.1956048422,2007,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",9.3876988399965e-05
15090,1729567370.86116,864296.941911787,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.000499718574987599
15090,1729567370.86116,1631432677.18192,1999,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.943260554441209
15102,928864172.629958,29722938.8448874,1972,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0319992305879672
15102,928864172.629958,636818.603943001,1982,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.000685588509824781
15102,928864172.629958,845666500.37208,1987,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.910430744656331
15102,928864172.629958,20164268.1046203,1989,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0217085217610749
15103,2435722246.06935,1311607.8359293,1974,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.000538488260739049
15103,2435722246.06935,5221332.99328941,1987,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00214364876853891
15103,2435722246.06935,2316177805.563,1989,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.950920331454349
15103,2435722246.06935,15154212.0916576,1990,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00622165031998732
15103,2435722246.06935,5.92485270556062,1991,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",2.43248289706343e-09
15104,3934091360.88215,161748694.693069,1972,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0411146259340556
15104,3934091360.88215,3623494470.63161,1974,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.921049904092493
15104,3934091360.88215,32387.4888635054,1981,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",8.23252077609177e-06
15104,3934091360.88215,4846035.67892799,1987,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00123180557704215
15104,3934091360.88215,48681377.4460163,1989,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0123742366356994
15104,3934091360.88215,25669162.5132041,1991,FALSE,2,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00652480081383984
15105,2483922599.3087,2428903466.41356,1972,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.977849900431495
15105,2483922599.3087,11108106.9719922,1974,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00447200205637794
15107,1827619007.49939,15652253.3936778,1972,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00856428682862831
15107,1827619007.49939,10044069.708141,1974,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.00549571309278713
15107,1827619007.49939,99208.010869775,1975,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",5.42826543512013e-05
15107,1827619007.49939,1691390213.14757,1981,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.925461054085771
15107,1827619007.49939,NA,1991,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",NA
15107,1827619007.49939,584.061851955019,1998,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",3.19575277756688e-07
15107,1827619007.49939,28447794.800553,2009,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0.0155654951517911
15340,14199842640.0216,0,0,FALSE,0,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","THA",0
16624,1887587432.96276,1718206489.92641,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.910265908705229
16625,2699617030.04323,2506404931.07644,1993,FALSE,2,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.928429811778266
16627,1698644184.28693,1458177127.16985,1993,FALSE,2,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.858435887078951
16628,2816478419.27806,2112365556.12538,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.750002393651159
16629,1897102287.56902,523362.501730662,1987,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.000275874688022915
16629,1897102287.56902,11185686.5256001,2016,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.00589619579233843
16632,1729637600.54078,1700454001.00676,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.983127332844238
16633,782015022.137489,670792505.142777,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.857774449535884
16651,109306248.508791,0,0,FALSE,0,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0
16656,5443979183.12315,5121911.96650815,1977,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.000940839741339673
16656,5443979183.12315,4652723.68777686,1978,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.00085465493736654
16656,5443979183.12315,2802122570.62702,1993,FALSE,2,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.514719560154429
16656,5443979183.12315,12414543.5922292,1998,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.00228041716814705
16656,5443979183.12315,406096200.202114,2016,FALSE,3,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.0745954726390303
16656,5443979183.12315,407461366.35364,2017,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.0748462388718915
16658,2573315333.92414,556267.843206465,1977,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.00021616777231813
16658,2573315333.92414,2084572.75907613,1987,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.000810072800482361
16658,2573315333.92414,1699608638.97505,2016,FALSE,2,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.660474298104484
16658,2573315333.92414,626858985.651771,2017,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.243599755299267
16665,558433162.568133,557993103.946081,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.999211976201363
16672,1101135694.24852,98925655.006096,2016,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.0898396587476065
16684,81156920.9106854,44666904.1873568,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.550377018819054
16684,81156920.9106854,746166.449592948,2016,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","KHM",0.00919411975244991
21878,25502473.7171338,17951526.2367652,2001,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.703913135481617
21879,68085873.6049533,0,0,FALSE,0,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0
22572,746017852.536023,669257987.953211,1994,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.897107201494075
22573,1901262122.50779,1696265319.56568,1993,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",0.892178568901526
22573,1901262122.50779,NA,1994,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",NA
22573,1901262122.50779,0.000717669725418091,1999,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",3.77470164119965e-13
22573,1901262122.50779,5903.30487839878,2007,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","LAO",3.1049400335248e-06
22609,154551923.532924,118751615.687406,1992,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.768360645230718
22616,40177109.1684431,141632.974769115,2013,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.00352521566883563
22623,48016953.8272505,0,0,FALSE,0,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0
22627,171955953.321004,5015705.50481364,1962,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.0291685481540172
22627,171955953.321004,96862049.8082161,2004,FALSE,1,"13920","VNM;THA;LAO;KHM;MMR;CHN","Central Highlands","VNM",0.563295704146957
