"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
24574,25867177351.977,179275.367348671,1968,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",6.93061190671309e-06
24574,25867177351.977,39161.8766111732,1982,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",1.51396018507524e-06
24574,25867177351.977,41871572.4747958,1983,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.00161871440030142
24574,25867177351.977,2871549.75169361,1988,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000111011329632923
24574,25867177351.977,844107.208663858,1991,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",3.26323663837772e-05
24574,25867177351.977,19188950.4758965,1993,FALSE,7,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000741826223046711
24574,25867177351.977,5498567.34565444,1995,FALSE,3,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000212569283104799
24574,25867177351.977,6444570.26426208,1999,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000249140838854206
24574,25867177351.977,21902743.4672359,2001,FALSE,2,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000846738829258536
24574,25867177351.977,16045658.5161342,2002,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000620309603085003
24574,25867177351.977,1406057.88790625,2005,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",5.43568348712307e-05
24574,25867177351.977,94207668.2435996,2006,FALSE,2,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.00364197712652244
24574,25867177351.977,14768026.7150472,2007,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000570917596230055
24574,25867177351.977,91349617.1310104,2008,FALSE,3,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.0035314876411913
24574,25867177351.977,8015679.80450201,2009,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000309878410598572
24574,25867177351.977,4652322.01740456,2010,FALSE,2,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000179854259090584
24574,25867177351.977,46988141.8724668,2011,FALSE,6,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.00181651601305759
24574,25867177351.977,26085195.2820251,2012,FALSE,3,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.00100842836182245
24574,25867177351.977,11143039.2909764,2013,FALSE,1,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000430779096588392
24574,25867177351.977,5933641.80645614,2014,FALSE,6,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000229388839984995
24574,25867177351.977,136324902.268807,2015,FALSE,4,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.005270188564211
24574,25867177351.977,21611032.8937334,2016,FALSE,10,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000835461581280019
24574,25867177351.977,3720326.24965488,2017,FALSE,4,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000143824206214388
24574,25867177351.977,17328679.5154049,2018,FALSE,2,"20774","AUS","Weddin Range","AUS",TRUE,"15204;18440;20773;20774;12190;19688;19842;19844;19854;20943",TRUE,"",0.000669909951117279
