"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
15741,407358810.806148,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15744,615975963.518991,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15745,177930674.811619,49290523.5593415,2007,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.27702094431737
15747,81274436.562746,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15748,70024154.1814491,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15749,609498297.750317,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15752,515264784.196313,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15755,6631631098.71777,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15758,733583325.220084,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15761,129999399.716409,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15762,83522371.1465912,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15763,270427351.79309,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15764,642635197.699314,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15765,46531754.5311956,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15766,152980966.995192,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15768,418574359.036772,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27190,31547984.989735,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27193,521411284.243867,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27200,377652992.602711,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27203,334255062.792315,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27210,96401250.8889971,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27217,25231322.7960073,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27225,33586963.4655105,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
25061,299166919.158341,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
31507,77751730.8995768,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
31589,493009023.37526,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
25067,281158284.634628,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15767,338575561.224149,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15769,226978419.094951,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15771,56375195.40606,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
31515,55697413.7366621,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
31482,219988224.505339,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
25088,78105252.8148195,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15746,15469301.9271755,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15753,9770841.28256989,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15757,13442667.8430586,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15743,37129834.9158702,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27207,128068846.160127,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27209,33577707.1978703,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15579,237129020.016239,67884464.4399095,2010,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.286276493848204
15580,585010139.672112,93800544.6365422,2010,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.160340032207161
27191,27001411.4074917,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27218,336332666.953226,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15566,7387559.36974031,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15557,7365697754.79883,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23129,67974642.3949066,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15546,43682655.2918924,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23128,195986750.679877,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23242,179971013.913217,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23194,318725083.156013,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15562,186729744.618847,57144167.3104896,2004,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.306026056144041
23221,43037350.4557595,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
