"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1727,1908868574.57579,290361.329806238,1989,FALSE,1,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",0.000152111744974777
1727,1908868574.57579,485.876062721014,1991,FALSE,1,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",2.54536152563039e-07
1727,1908868574.57579,89974.8112206459,1997,FALSE,1,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",4.71351524243312e-05
1727,1908868574.57579,780016382.237459,2000,FALSE,2,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",0.408627598896274
1727,1908868574.57579,284059.806306452,2002,FALSE,1,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",0.000148810562492275
1727,1908868574.57579,6162834.98177891,2003,FALSE,3,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",0.00322852765447641
1727,1908868574.57579,7278.57365357364,2004,FALSE,4,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",3.81303026856689e-06
1727,1908868574.57579,NA,2005,FALSE,1,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",NA
1727,1908868574.57579,61389279.3452457,2008,FALSE,8,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",0.0321600345685864
1727,1908868574.57579,6.21931189310271,2014,FALSE,2,"12803","ESP","Sierra de Villuercas","ESP",TRUE,"12803;18662;20033;18658;18664",TRUE,"",3.25811424418511e-09
