"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
20116,4497561606.86812,1521427823.27009,1985,FALSE,1,"13050","BRA","Serra do Sincorá","BRA",TRUE,"13050;18238",TRUE,"",0.338278373095936
20116,4497561606.86812,458119630.998109,1993,FALSE,1,"13050","BRA","Serra do Sincorá","BRA",TRUE,"13050;18238",TRUE,"",0.101859556586957
