"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44603,87805176.3814093,400009.760073334,1932,FALSE,1,"13753","NZL","Culverden Range","NZL",TRUE,"13770;13749;13753;13754;13755;13756;13759;13763;13764;13766;13771",TRUE,"",0.00455565123331415
44603,87805176.3814093,24294.1508226395,1974,FALSE,1,"13753","NZL","Culverden Range","NZL",TRUE,"13770;13749;13753;13754;13755;13756;13759;13763;13764;13766;13771",TRUE,"",0.000276682444291328
44603,87805176.3814093,2309834.98142517,1987,FALSE,9,"13753","NZL","Culverden Range","NZL",TRUE,"13770;13749;13753;13754;13755;13756;13759;13763;13764;13766;13771",TRUE,"",0.0263063645745859
44603,87805176.3814093,52325.5225800462,2005,FALSE,1,"13753","NZL","Culverden Range","NZL",TRUE,"13770;13749;13753;13754;13755;13756;13759;13763;13764;13766;13771",TRUE,"",0.000595927537947808
44603,87805176.3814093,72675.7678954715,2007,FALSE,1,"13753","NZL","Culverden Range","NZL",TRUE,"13770;13749;13753;13754;13755;13756;13759;13763;13764;13766;13771",TRUE,"",0.000827693433241129
