"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
2716,1097640811.04384,163905.324322136,1977,FALSE,1,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.000149325100408999
2716,1097640811.04384,65478383.1321014,1978,FALSE,1,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.0596537432585369
2716,1097640811.04384,751073.330087001,1979,FALSE,2,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.000684261483838908
2716,1097640811.04384,256549675.563937,1995,FALSE,1,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.233728258809876
2716,1097640811.04384,107035.155813321,2000,FALSE,2,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",9.75138266875597e-05
2716,1097640811.04384,246695.367383994,2003,FALSE,5,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.000224750542164509
2716,1097640811.04384,498983175.65279,2006,FALSE,5,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.454596048755025
2716,1097640811.04384,530.094488056086,2007,FALSE,1,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",4.82939849468583e-07
2716,1097640811.04384,682816.617367695,2015,FALSE,3,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.000622076557738726
2716,1097640811.04384,164230.47660172,2017,FALSE,8,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",0.000149621328716394
2716,1097640811.04384,44271.3820900917,2018,FALSE,2,"19451","ITA;FRA","Cottian Alps (nn)","ITA",TRUE,"15377;19451;19452",TRUE,"",4.03332143308249e-05
2349,643341358.258554,640977233.152924,1979,FALSE,2,"19451","ITA;FRA","Cottian Alps (nn)","FRA",TRUE,"15373;15377;19451",TRUE,"",0.996325239975199
