"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1658,1365717573.25119,654885974.58009,1918,FALSE,1,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.47951786475229
1658,1365717573.25119,0.397018354830885,1987,FALSE,1,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",2.90703116520463e-10
1658,1365717573.25119,718822.007148432,1994,FALSE,1,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.000526332838668264
1658,1365717573.25119,255542275.762144,2000,FALSE,7,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.18711209459933
1658,1365717573.25119,38426095.0157719,2003,FALSE,6,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.028136194311607
1658,1365717573.25119,84001015.1296115,2006,FALSE,9,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.0615068713875014
1658,1365717573.25119,NA,2007,FALSE,1,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",NA
1658,1365717573.25119,1647072.91118831,2014,FALSE,2,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",0.00120601282684481
1658,1365717573.25119,40633.9662971497,2015,FALSE,6,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",2.97528325716843e-05
1658,1365717573.25119,1.64468571153116,2019,FALSE,2,"14953","ESP","Macizo Oriental de Picos de Europa","ESP",TRUE,"12786;14950;14953;14954;14955;14957;17876;17878;17880;20035",TRUE,"",1.2042648815127e-09
