"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6190,235383217.753799,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6195,1340228150.37851,1328768813.0123,1989,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.991449711481604
6196,1757162426.41422,1753452408.6254,1989,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.99788863127674
6198,1418469407.74227,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6200,3412967384.67637,16678516.0353942,1996,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.00488680791685201
6201,1587558207.68486,1048021374.2385,2006,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.660146739291428
6202,63625864.1575322,63625864.1575322,1983,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",1
6204,6541570.31263058,6541570.31263058,2003,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",1
6208,500772708.214376,327.512757301331,1983,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",6.54014789402472e-07
6208,500772708.214376,499556624.989276,1996,FALSE,2,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.997571586459981
6211,4713250935.47974,121143.59836828,1983,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",2.57027686466579e-05
6211,4713250935.47974,4713104293.43665,1996,FALSE,3,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.999968887282875
6212,586654495.326326,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6216,599940642.975024,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6217,1583170389.24758,28242869.9485779,2006,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.0178394379659921
6218,1610010275.37947,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6219,124305689.359314,124010714.572879,1983,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.997627021032139
6220,511666250.949521,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6801,1052600226.04023,1009889680.36851,2016,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","SDN",0.959423773038325
6802,82258934.3017224,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","SDN",0
6889,18498661265.9876,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","TCD",0
6213,548701790.107147,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0
6214,1025314246.76273,2563886.60776806,1998,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.0025005861528435
6210,3887130631.51475,2998775720.43702,1995,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.771462552898164
6210,3887130631.51475,105114059.904223,1996,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",0.0270415558077764
6209,2618641536.79919,2618641536.79919,1995,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","EGY",1
8185,1175437858.00044,30627060.059538,1970,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","ISR",0.0260558734356559
8185,1175437858.00044,347323782.657251,1986,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","ISR",0.295484597754992
8185,1175437858.00044,30780494.6576875,2002,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","ISR",0.0261864074295248
8185,1175437858.00044,150681158.732903,2008,FALSE,2,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","ISR",0.128191514087549
8185,1175437858.00044,45920801.916596,2018,FALSE,1,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","ISR",0.0390669754288096
31679,10277638097.9547,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","LBY",0
46602,10542880.4001108,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","LBY",0
6471,11519782753.6022,0,0,FALSE,0,"19172","EGY;SDN;TCD;ISR;LBY","East Sahara Mountains","LBY",0
