"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
939,213124726.556515,205358501.244272,1955,FALSE,1,"12990","POL;SVK","Western Tatras","POL",TRUE,"20254;12990;12985",TRUE,"",0.963560186386052
939,213124726.556515,3140038.19529184,1997,FALSE,1,"12990","POL;SVK","Western Tatras","POL",TRUE,"20254;12990;12985",TRUE,"",0.0147333359485117
939,213124726.556515,3733156.77505802,2003,FALSE,2,"12990","POL;SVK","Western Tatras","POL",TRUE,"20254;12990;12985",TRUE,"",0.0175163005971908
3098,547072493.592123,652277.707777918,1955,FALSE,1,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",0.0011923058011837
3098,547072493.592123,1043416.01295102,1991,FALSE,2,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",0.00190727193410851
3098,547072493.592123,47242.0930381296,1997,FALSE,1,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",8.63543563083096e-05
3098,547072493.592123,589393.190817818,1998,FALSE,1,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",0.00107735848122762
3098,547072493.592123,528538043.271257,2003,FALSE,2,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",0.966120668580562
3098,547072493.592123,14381555.3178232,2004,FALSE,41,"12990","POL;SVK","Western Tatras","SVK",TRUE,"20254;20271;20292;12990;12985;20281",TRUE,"",0.0262882076621925
