"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
10155,618417584.371565,118870146.818415,1988,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.192216634556423
10155,618417584.371565,57528411.8492575,2008,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0930251876775428
10157,1987967504.93723,9919.05468850955,1996,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",4.98954568617195e-06
10157,1987967504.93723,149631991.269986,2010,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0752688315570384
10158,2474980.12074061,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10159,39052408.389468,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10160,20485978.8779854,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10161,45330558.4960263,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10163,10812148338.8127,28926203.8241271,1990,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.00267534285672809
10163,10812148338.8127,799253228.267645,1992,FALSE,4,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0739217779133256
10163,10812148338.8127,8084568.54365776,1995,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.000747730080120741
10163,10812148338.8127,9938.44071244076,1996,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",9.19192042229427e-07
10163,10812148338.8127,39655011.8088544,1998,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.00366763482762288
10163,10812148338.8127,3245620661.85188,2000,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.300182772206424
10163,10812148338.8127,1818.01259105269,2004,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",1.68145361502905e-07
10163,10812148338.8127,154424.414464682,2009,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",1.42824912890198e-05
10163,10812148338.8127,17659344.7514369,2010,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.00163328731701216
10167,493466343.785984,479607736.590609,2000,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.971915800601417
10171,7144951176.7059,7024689955.52169,1989,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.983168363476536
10180,3228823868.97059,32646090.514591,1989,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0101108303950315
10180,3228823868.97059,40706200.4843216,1990,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0126071294490583
10180,3228823868.97059,1895899.59163678,1994,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.000587179625948821
10180,3228823868.97059,138775483.96315,2017,FALSE,5,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0429801963794927
10181,6888486.93776751,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10182,10932559.7023667,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0
10191,646816491.231461,163445908.318748,1980,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.252692858847131
10191,646816491.231461,159787984.522962,2000,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.247037585913656
10191,646816491.231461,32830702.4414653,2004,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0507573676406418
10191,646816491.231461,48940052.9413043,2006,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0756629640783096
10199,6320696.34071153,452889.260982513,1990,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0716517985629936
10199,6320696.34071153,2473122.54548395,1997,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.391273747728489
10200,666116482.763921,395574.130390644,1956,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.000593851286713828
10200,666116482.763921,43608871.8271483,2000,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0654673363526477
10200,666116482.763921,63680056.8029105,2003,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.0955989807348445
10200,666116482.763921,210254.992680311,2007,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","MEX",0.000315642981551663
19254,172033307.472143,51637.1795066297,1985,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.000300158034890954
19254,172033307.472143,111636079.823809,1993,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.648921313344429
19254,172033307.472143,52925140.0504362,1994,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.307644727803691
19264,1669850435.44054,1630949022.21307,1983,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.976703654170558
19264,1669850435.44054,5174708.22945499,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.00309890521907119
19265,88790399.058187,33146.8384288326,1981,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.000373315569931277
19265,88790399.058187,683207.752305213,1983,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.00769461292608322
19265,88790399.058187,1016860.39927708,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0114523688378819
19266,141536891.141307,137168835.174367,1977,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.969138392600563
19266,141536891.141307,61225.3394003436,1983,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.000432575132226254
19266,141536891.141307,2409553.82565031,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0170242104812425
19267,207828059.599018,1338691.22981461,1983,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0064413401751307
19268,623807859.1767,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19269,11042174.0349483,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19271,17007832.2207572,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19273,297856995.308709,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19274,14186591.2686228,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19275,5266737.17456462,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19277,2012674877.59069,1290827.32826703,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.000641349153129113
19277,2012674877.59069,13834955.1106634,2001,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.00687391454263334
19278,752315064.347798,3344911.40901025,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.00444615769047513
19278,752315064.347798,742460804.431808,2001,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.986901418856297
19279,2550235052.78207,2484798041.26721,2005,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.974340792060138
19279,2550235052.78207,65363322.0079154,2016,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0256303127574888
19280,899441551.053519,NA,1990,FALSE,2,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",NA
19281,22264956.9856954,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19284,253985186.494023,249016875.086583,1986,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.980438578028816
19286,473516110.128118,8078350.10240608,1980,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0170603490137228
19286,473516110.128118,46543071.7342606,1984,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.0982924777821552
19290,105441453.650929,0,0,FALSE,0,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0
19295,132549927.459378,121670641.796371,1978,FALSE,1,"12390","MEX;PAN;GTM;CRI;NIC;BLZ;SLV;HND;COL","Cordillera Centroamericana","PAN",0.917923111151142
