"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1655,1066194396.64685,928525.695059492,1918,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.000870878423277858
1655,1066194396.64685,0.330865889675806,1987,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",3.10324168572233e-10
1655,1066194396.64685,86664033.110129,1994,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.081283519574559
1655,1066194396.64685,28.1627726401202,1995,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",2.6414294361977e-08
1655,1066194396.64685,290190486.888868,1996,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.272174087391108
1655,1066194396.64685,350483.37302824,2000,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.000328723705668029
1655,1066194396.64685,763454.49828577,2001,FALSE,2,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.000716055628023196
1655,1066194396.64685,46076172.7105954,2002,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.0432155457349089
1655,1066194396.64685,205858067.067269,2003,FALSE,5,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.193077423511779
1655,1066194396.64685,72967.3764546216,2006,FALSE,1,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",6.84372162188266e-05
1655,1066194396.64685,190824.294334794,2014,FALSE,4,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.000178977018576473
1655,1066194396.64685,262261040.683703,2015,FALSE,4,"17873","ESP","Serranía de las Fuentes de Invierno","ESP",TRUE,"14957;17872;17873;20035;14954",TRUE,"",0.245978633454188
