"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
28291,3997656535.77884,3528174425.10737,1996,FALSE,1,"19856","MNG;CHN","Alashan Plateau","MNG",0.882560668614317
15505,14771457985.1614,0,0,FALSE,0,"19856","MNG;CHN","Alashan Plateau","CHN",0
15509,15973395180.0613,0,0,FALSE,0,"19856","MNG;CHN","Alashan Plateau","CHN",0
