"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6033,9564488.70957002,5280140.3940258,1967,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.552056733439667
6034,367680685.17692,142662.846021484,1933,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.000388007452588481
6034,367680685.17692,348467388.472659,1934,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.947744612434521
6035,514550174.204586,495530801.529757,1980,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.96303689391568
6036,61744610.4509034,36353244.6403031,1980,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.58876790014263
6037,15246367.8382787,14123830.303794,1951,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","BDI",0.926373445374551
6064,584362479.143659,0,0,FALSE,0,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","COD",0
6065,13876893636.1422,13458407115.8916,1992,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","COD",0.969842925137031
6065,13876893636.1422,6191.97657426668,1996,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","COD",4.46207684271626e-07
6067,10485900067.2564,9290407385.49842,1970,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","COD",0.885990456318478
6068,1754431971.91802,189774579.064009,2006,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","COD",0.10816867345192
6773,102914489.864027,58117048.8472204,2005,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.564712014061441
6774,159068952.005029,6219468.07409165,1925,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.0390991956362108
6774,159068952.005029,148641014.883581,1929,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.934443918879165
6774,159068952.005029,137225.612058647,1930,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.000862680053705946
6774,159068952.005029,NA,1979,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",NA
6774,159068952.005029,NA,1996,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",NA
6775,1020159701.20318,1020135941.89256,1934,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.999976710204703
6776,454997183.770198,0,0,FALSE,0,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0
6777,224802811.58073,0,0,FALSE,0,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0
6778,4117806.07512484,3037736.92087741,1933,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","RWA",0.737707620382614
6821,658941098.106884,1755334.5488126,1946,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","SSD",0.00266387170849659
6821,658941098.106884,1.77444890141487e-05,1948,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","SSD",2.69287938863246e-14
6821,658941098.106884,130355181.942975,1954,FALSE,2,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","SSD",0.197825241614889
6971,459429184.992759,209235943.032074,1977,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.45542588469945
6977,3795669188.17655,951280203.542339,1957,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.25062252698564
6980,13686959935.4871,5542844.86738968,1932,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.00040497268155351
6980,13686959935.4871,2717268.47220243,1953,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.00019852973085405
6980,13686959935.4871,146192070.826053,1962,TRUE,2,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.0106811206809345
6980,13686959935.4871,8361055136.01132,1969,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.610877446519955
6980,13686959935.4871,7136951.39051871,1974,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.000521441680560067
6980,13686959935.4871,5154175590.25479,2000,TRUE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.376575632174622
6987,1503879222.58439,834.519641306332,1934,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",5.54911344457719e-07
7002,234762392.761854,0,0,FALSE,0,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0
7038,309356390.525622,229203.229086657,1932,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.000740903489005743
7038,309356390.525622,465744.654462027,1958,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.00150552782721148
7038,309356390.525622,234758548.226925,2019,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.758861156312465
7040,879023209.182977,73662412.2140124,1957,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.0838003040698767
7040,879023209.182977,394415522.901643,2019,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","TZA",0.448697507393735
7041,41025288.3932024,3343119.0397376,1929,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.0814892270273848
7041,41025288.3932024,36907588.3198445,1930,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.899630197991732
7042,35800030.8332834,28158881.9850431,1939,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.786560271866127
7043,50651776.9363037,0,0,FALSE,0,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0
7044,319332061.958845,2555621.51752319,1946,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.00800302200113106
7044,319332061.958845,296761431.435134,1991,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.929319247227294
7044,319332061.958845,1542.70872640703,1994,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",4.83104864868172e-06
7046,796269127.475115,53523812.7303771,1932,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.0672182442889572
7046,796269127.475115,2002275.83880075,1952,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.00251457173173315
7046,796269127.475115,712350230.3979,1974,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.894609882285262
7046,796269127.475115,397.350328734974,1988,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",4.99015113137602e-07
7047,2682375006.3367,23057355.0066098,1925,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.00859587304241216
7047,2682375006.3367,420730102.960585,1932,FALSE,3,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.156849844621529
7047,2682375006.3367,1883127470.36452,1952,FALSE,2,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.702037360889481
7047,2682375006.3367,4488574.0435941,1959,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.00167335813709512
7047,2682375006.3367,1808381.07245091,1965,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.000674171608436139
7047,2682375006.3367,1367809.23722087,1974,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.000509924687633024
7047,2682375006.3367,2277.52806306187,1979,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",8.49071460061161e-07
7047,2682375006.3367,42727994.7125031,1988,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.0159291652403429
7047,2682375006.3367,43080.3193330336,1996,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",1.60605132508553e-05
7048,154979481.785063,6795185.1989617,1952,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.0438457086105486
7048,154979481.785063,145370779.865014,1965,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.938000167445552
7049,216496192.835533,3923109.22136287,1925,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.0181209155227185
7049,216496192.835533,24669.9600984617,1979,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.000113951011218026
7049,216496192.835533,205450482.63665,1993,FALSE,1,"13127","BDI;COD;RWA;SSD;TZA;UGA;ZMB","Albertine Rift Mountains","UGA",0.948979656158323
