"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
29594,3576743354.81751,207.121418833733,1921,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",5.79078223643754e-08
29594,3576743354.81751,929071384.438792,1926,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.25975343833027
29594,3576743354.81751,32757834.0085829,1975,TRUE,6,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.00915856430248522
29594,3576743354.81751,735.774686456998,1983,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",2.05710785892978e-07
29594,3576743354.81751,1461185883.3007,1984,TRUE,3,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.408524106526298
29594,3576743354.81751,2711617.35859776,1985,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.000758124665261623
29594,3576743354.81751,19450119.1194389,1986,TRUE,5,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.00543794093955374
29594,3576743354.81751,353240.376856757,1988,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",9.87603363772182e-05
29594,3576743354.81751,30819.1107545272,1996,TRUE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",8.61652841628039e-06
29594,3576743354.81751,558.117978677154,2001,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",1.56040823540058e-07
29594,3576743354.81751,20003.3763964379,2003,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",5.59262278896677e-06
29594,3576743354.81751,24938.9142579064,2005,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",6.97251991097326e-06
29594,3576743354.81751,1030549146.39796,2006,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.288124990855135
29594,3576743354.81751,224.125337086618,2007,TRUE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",6.26618448272907e-08
29594,3576743354.81751,8.79524984396994,2016,TRUE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",2.45901060586962e-09
