"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44525,7728882926.12011,567714908.874015,1992,FALSE,10,"19614","USA","Southwest Great Divide Basin Ranges (nn)","USA",TRUE,"17517;17519;17520;17522;17528;17529;19614;19616",TRUE,"",0.0734536820263375
44525,7728882926.12011,64478745.5018101,1997,FALSE,2,"19614","USA","Southwest Great Divide Basin Ranges (nn)","USA",TRUE,"17517;17519;17520;17522;17528;17529;19614;19616",TRUE,"",0.00834256982776919
44525,7728882926.12011,141206001.743729,2014,FALSE,1,"19614","USA","Southwest Great Divide Basin Ranges (nn)","USA",TRUE,"17517;17519;17520;17522;17528;17529;19614;19616",TRUE,"",0.0182699108129218
