"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
31510,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
31478,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
31481,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
25074,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
25078,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
27253,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
15788,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
15782,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
15783,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
25064,NA,0,0,FALSE,0,0,20719,"CHN","Limu Ling",NA,NA,NA,"no overlaps btwn PAs and range"
