"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
29716,3765103881.65138,3502466059.28322,2010,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.930244202916131
14554,8575249.13396489,0,0,FALSE,0,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",NA,NA,"no pas overlapping kba",0
14524,68242927.5426162,63848914.6858152,1992,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",TRUE,"19711","",0.935612187005648
14574,121671886.579961,18712564.03321,2017,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.15379529782266
47218,10339198.5780463,0,0,FALSE,0,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",NA,NA,"no pas overlapping kba",0
14543,1513819851.02089,1346487209.34203,1983,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",TRUE,"19711","",0.88946330597659
14608,1978344130.10921,1916345219.57048,1994,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",FALSE,"19711","",0.968661210355089
29720,9528692.57824746,0,0,FALSE,0,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",NA,NA,"no pas overlapping kba",0
26533,1479002318.2063,65322516.5897134,1971,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",TRUE,"19711","",0.044166608656121
26533,1479002318.2063,115046468.244654,1984,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",TRUE,"19711","",0.0777865367947354
26533,1479002318.2063,51640596.3852285,2008,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",TRUE,"19711","",0.0349158319426145
14541,16525900.9586626,546534.823345635,1983,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","ECU",TRUE,"19711","",0.0330714086156466
19102,83241397.8252553,81891420.3686606,1985,FALSE,1,"19711","PER;COL;ECU","Cordillera Real (Ecuador) (nn)","COL",FALSE,"19711","",0.983782378817945
