"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
28362,703757997.120179,0,0,FALSE,0,0,11354,"TUR","Gölgel Dagi",NA,NA,NA,"no overlaps btwn PAs and range"
31642,401977.091550827,0,0,FALSE,0,0,11354,"TUR","Gölgel Dagi",NA,NA,NA,"no overlaps btwn PAs and range"
28389,1237952499.75783,0,0,FALSE,0,0,11354,"TUR","Gölgel Dagi",NA,NA,NA,"no overlaps btwn PAs and range"
28367,9133292.77208537,0,0,FALSE,0,0,11354,"TUR","Gölgel Dagi",NA,NA,NA,"no overlaps btwn PAs and range"
