"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
23213,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23152,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23212,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15531,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15541,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15545,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23258,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23225,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23177,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23102,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23120,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23117,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23270,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15543,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15549,NA,0,0,FALSE,0,0,19374,"CHN","Daxue Shan (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
