"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
15557,68871060.0238645,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15546,43682655.277347,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23128,195986750.655078,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15539,30811560.1620479,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23242,179971013.931281,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23194,318725083.128387,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23221,43037350.4824679,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23122,88470965.1932895,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23127,47395815.5838501,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23296,153169234.964219,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15548,156463149.856596,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15544,191323033.162515,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23239,909468559.802047,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15542,36652048.5909802,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15540,91646531.9642344,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15547,541733551.112978,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
27192,87126795.1442161,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15538,2812332.07620543,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
23283,319222920.187014,0,0,FALSE,0,0,19425,"CHN","Daliang Mountains (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
