"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
15514,392391286.372479,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15515,604095.288369141,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15631,215407752.090063,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15632,556497624.718646,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15633,574665643.717791,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15634,280233401.338759,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15635,320096621.032711,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15511,1074760700.65955,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
26520,926432794.013945,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15636,462168160.589123,0,0,FALSE,0,0,19406,"CHN","Qin Ling (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
