"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
27417,247151717.323477,192479437.888752,1971,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.778790614822357
27419,150398146.492072,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0
20654,859510597.131546,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22145,1375772088.57283,6923440.0760435,1975,FALSE,2,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.00503240335630416
22145,1375772088.57283,1358148322.42359,1990,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.987189908637031
15441,277795411.679121,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
46788,307576398.762256,75442479.4657845,1981,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0.245280456398407
46716,122819213.427171,121052750.718896,2016,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.985617374847282
46727,3897484882.40721,2306305975.9572,1971,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.59174212230241
46839,1074532291.30107,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
46792,546624447.116763,1559.88095224183,1926,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",2.85366115706975e-06
46717,185225488.089375,133977710.460281,2016,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.723322215761329
46726,2622967171.34203,2012286583.09315,1981,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.767179477150516
46783,3060180962.33338,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
46781,3242552363.39909,22097817.0809963,2013,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.00681494532838684
46786,2368033428.77278,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
46725,939650061.057013,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0
21863,679683104.291466,353142753.158837,1938,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0.519569709661931
15437,1728831122.25027,385236301.107861,2013,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0.222830498681925
15448,6280940588.91578,3424057367.6013,2013,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0.54515041483498
15442,1010106748.69116,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
15446,2664965894.7154,1049305277.53624,2013,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0.393740602691014
20586,748991308.323081,312105663.380552,1986,FALSE,2,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TKM",0.416701315372172
20586,748991308.323081,94031294.3000244,1989,FALSE,2,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TKM",0.125543905857267
22284,428351173.930021,341494081.699983,2016,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.797229241995195
15443,2417528800.56882,1137814805.01867,2013,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0.470652016534801
20638,5296104917.46372,83321686.2918518,1981,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.0157326351328693
20638,5296104917.46372,1956270800.64079,1996,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.369379162823993
