"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
425,35494150.1561161,1782737.10809779,2001,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0502262232017577
425,35494150.1561161,30366392.2967887,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.855532310626578
429,57854124.4786174,3791874.74709046,2001,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0655419951691071
429,57854124.4786174,53984995.8918045,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.933122683617087
430,1256993735.28113,1269943.97472876,1971,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00101030254891822
430,1256993735.28113,3976.88164439239,1973,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",3.16380387011471e-06
430,1256993735.28113,54362.7105861269,1974,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",4.32481953253081e-05
430,1256993735.28113,322069.917666592,1976,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000256222372973529
430,1256993735.28113,591092137.238534,2002,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.470242707380188
430,1256993735.28113,663972192.640929,2007,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.528222356249396
434,1154099835.62989,3994937.59846523,1931,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00346151821110419
434,1154099835.62989,26338989.012707,1956,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0228221061987514
434,1154099835.62989,2324062.26615326,1971,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0020137445603957
434,1154099835.62989,155762.703592665,1973,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000134964670112488
434,1154099835.62989,19888.5961820632,1974,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",1.72329945538969e-05
434,1154099835.62989,6827.19011123478,1980,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",5.91559750765287e-06
434,1154099835.62989,10929713.7388075,1981,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00947033644870263
434,1154099835.62989,21655597.6589769,1989,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0187640592177691
434,1154099835.62989,1115259.41136843,1990,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000966345698125616
434,1154099835.62989,11869703.9600383,1991,FALSE,5,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.010284815571055
434,1154099835.62989,23947487.9038975,1992,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0207499274885758
434,1154099835.62989,949079.206495434,1994,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000822354511451289
434,1154099835.62989,1037337503.55248,1995,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.898828222245017
435,1910703.08858084,636378.662583724,1995,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.333059943424484
435,1910703.08858084,1246574.01981839,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.65241639439871
442,348612310.606859,348363128.018861,2007,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.999285215752812
779,82319097.0702553,0,0,FALSE,0,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","TUR",0
994,1348971860.81039,42959.3696090989,1956,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",3.18460086953119e-05
994,1348971860.81039,6074071.64787233,1980,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00450274155031176
994,1348971860.81039,45804842.2343291,1987,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.0339553726545577
994,1348971860.81039,25949164.7292029,2001,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.0192362535372783
