"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
15789,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31506,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
25073,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
25077,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
25083,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
31516,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
25089,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
27253,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
15786,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
15785,NA,0,0,FALSE,0,0,14496,"CHN","Wuzhi Mountains",NA,NA,NA,"no overlaps btwn PAs and range"
