"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44594,83728697.4755825,483755.265321558,1907,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00577765186736165
44594,83728697.4755825,106823.255397616,1911,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.0012758260741936
44594,83728697.4755825,511084.001963515,1925,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00610404816237062
44594,83728697.4755825,78142.9370450713,1928,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.000933287384147589
44594,83728697.4755825,143190.02686665,1931,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00171016665950654
44594,83728697.4755825,675.954932078719,1935,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",8.07315714275676e-06
44594,83728697.4755825,161676.225040652,1956,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00193095354299284
44594,83728697.4755825,598.584134018049,1981,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",7.1490916742448e-06
44594,83728697.4755825,6219007.84526774,1987,FALSE,15,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.0742757027491245
44594,83728697.4755825,119206.074209083,1988,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00142371824479709
44594,83728697.4755825,11940.799108899,1991,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.000142612980601797
44594,83728697.4755825,12057.5398159195,1994,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.00014400725413692
44594,83728697.4755825,300112.967944695,1996,FALSE,2,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.0035843501331454
44594,83728697.4755825,39210.4716010969,2005,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.000468303852601215
44594,83728697.4755825,8647.9524301663,2007,FALSE,1,"13881","NZL","Muntz Range","NZL",TRUE,"12039;12870;13778;13779;13783;13786;13787;13790;13792;13802;13806;13881",TRUE,"",0.000103285405015267
