"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note"
15460,NA,0,0,FALSE,0,0,19400,"CHN","Tibetan Plateau (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
15470,NA,0,0,FALSE,0,0,19400,"CHN","Tibetan Plateau (nn)",NA,NA,NA,"no overlaps btwn PAs and range"
