"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1877,2437857465.305,866774960.162801,1989,TRUE,2,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",0.355547841700565
1877,2437857465.305,859502153.750657,1992,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",0.352564563754397
1877,2437857465.305,1.24687905949684,1999,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",5.11465119369004e-10
1877,2437857465.305,1681.980081046,2001,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",6.89941928510398e-07
1877,2437857465.305,44.377565616318,2002,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",1.8203511176469e-08
1877,2437857465.305,52284.3371026795,2003,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",2.14468392212333e-05
1877,2437857465.305,14752707.6146069,2006,TRUE,2,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",0.00605150539954197
1877,2437857465.305,145474.997948987,2007,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",5.96732992061071e-05
1877,2437857465.305,248.297309085951,2012,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",1.01850626059833e-07
1877,2437857465.305,0.180433338674806,2015,TRUE,2,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",7.40130796171188e-11
1877,2437857465.305,9744.93317941763,2019,TRUE,1,"12229","ESP","Sierra Nevada (Spain)","ESP",TRUE,"12229;12815;12817;15071;15072;15073;15075",TRUE,"",3.99733508546139e-06
