"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY"
NA,NA,0,0,FALSE,0,0,"15490","CHE,DEU","Central Uplands",NA
NA,NA,0,0,FALSE,0,0,"11448","CHE,DEU","Jura Mountains",NA
NA,NA,0,0,FALSE,0,0,"10001","CHE,DEU","European Alps",NA
NA,NA,0,0,FALSE,0,0,"12457","DEU","Bohemian Massif",NA
NA,NA,0,0,FALSE,0,0,"18171","GHA","Volta Highlands",NA
NA,NA,0,0,FALSE,0,0,"12507","KOR","Korean Peninsula",NA
NA,NA,0,0,FALSE,0,0,"12166","ZAF","Cape Fold Mountains",NA
NA,NA,0,0,FALSE,0,0,"11306","ZAF","Drakensberg",NA
NA,NA,0,0,FALSE,0,0,"18277","ZAF","Kwazulu Natal Midlands",NA
NA,NA,0,0,FALSE,0,0,"18701","ZAF","Southern Great Escarpment",NA
NA,NA,0,0,FALSE,0,0,"14461","ZAF","Southwestern Great Escarpment",NA
NA,NA,0,0,FALSE,0,0,"18285","ZAF","Eastern Cape Hills",NA
NA,NA,0,0,FALSE,0,0,"14280","ZAF","Southern Indian Ocean Islands",NA
