"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
8169,90925839.1874743,8158720.56521843,1970,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",0.0897293952755989
8169,90925839.1874743,173214.959963457,1973,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",0.00190501359691952
8169,90925839.1874743,1444827.36260854,1975,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",0.0158901735251466
8169,90925839.1874743,8604.62333052792,1985,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",9.46334222199102e-05
8169,90925839.1874743,27261.0291770035,2000,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",0.000299816085511135
8169,90925839.1874743,21032.0704344139,2011,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",TRUE,"14099",1,1,0,1,167931285.370621,NA,"",0.000231310160262026
46609,303778052.494438,25183344.8717421,1965,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.0829004750835421
46609,303778052.494438,12231144.9106093,1967,TRUE,2,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.0402634252546381
46609,303778052.494438,54506646.2283055,1972,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.179429177917004
46609,303778052.494438,18194800.2814244,1981,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.0598950455176727
