Mountain,Name,Metric,Definition,Calculation,ResultRaster,ResultVector,DiffPct,FilterString
13550,Waterfall Range,KBAPA,GMBA,Area,0,1.094941396,-100,Range_Highland_KBAPA_GMBA_Area
13554,Otago Coast Forest*,KBAPA,GMBA,Area,0,0.030521671,-100,Range_Highland_KBAPA_GMBA_Area
13567,Lintley Range,KBAPA,GMBA,Area,0,2.48273675,-100,Range_Highland_KBAPA_GMBA_Area
13611,Benmore Range,KBAPA,GMBA,Area,0,1.277795651,-100,Range_Highland_KBAPA_GMBA_Area
13649,Ben McLeod Range,KBAPA,GMBA,Area,0,0.157424254,-100,Range_Highland_KBAPA_GMBA_Area
13650,Peter Range,KBAPA,GMBA,Area,0,0.903657449,-100,Range_Highland_KBAPA_GMBA_Area
13660,Harper Range,KBAPA,GMBA,Area,0,0.381639478,-100,Range_Highland_KBAPA_GMBA_Area
13676,Mount Somers Range,KBAPA,GMBA,Area,0,6.438725714,-100,Range_Highland_KBAPA_GMBA_Area
13690,Armoury Range,KBAPA,GMBA,Area,0,1.312722428,-100,Range_Highland_KBAPA_GMBA_Area
13691,Blackhill Range,KBAPA,GMBA,Area,0,1.360418984,-100,Range_Highland_KBAPA_GMBA_Area
13692,Froude Range,KBAPA,GMBA,Area,0,5.99609148,-100,Range_Highland_KBAPA_GMBA_Area
13701,Torlesse Range,KBAPA,GMBA,Area,0,0.511895421,-100,Range_Highland_KBAPA_GMBA_Area
13715,Okuku Range,KBAPA,GMBA,Area,0,3.462517318,-100,Range_Highland_KBAPA_GMBA_Area
13738,Big Ben Range,KBAPA,GMBA,Area,0,12.08992518,-100,Range_Highland_KBAPA_GMBA_Area
13753,Culverden Range,KBAPA,GMBA,Area,0,0.722364577,-100,Range_Highland_KBAPA_GMBA_Area
13759,Organ Range,KBAPA,GMBA,Area,0,0.281113746,-100,Range_Highland_KBAPA_GMBA_Area
13763,Black Hills,KBAPA,GMBA,Area,0,2.157050525,-100,Range_Highland_KBAPA_GMBA_Area
13764,Poplars Range,KBAPA,GMBA,Area,0,0.488164055,-100,Range_Highland_KBAPA_GMBA_Area
13770,Amuri Range,KBAPA,GMBA,Area,0,2.156035333,-100,Range_Highland_KBAPA_GMBA_Area
13772,Boddington Range,KBAPA,GMBA,Area,0,0.238849832,-100,Range_Highland_KBAPA_GMBA_Area
13781,Sawtooth Range,KBAPA,GMBA,Area,0,0.187043158,-100,Range_Highland_KBAPA_GMBA_Area
13830,Haupiri Range,KBAPA,GMBA,Area,0,0.075858025,-100,Range_Highland_KBAPA_GMBA_Area
13859,Moehau Range,KBAPA,GMBA,Area,0,0.012418863,-100,Range_Highland_KBAPA_GMBA_Area
13876,Raukawa Range,KBAPA,GMBA,Area,0,0.268078806,-100,Range_Highland_KBAPA_GMBA_Area
13879,Opihi River Range,KBAPA,GMBA,Area,0,4.154910535,-100,Range_Highland_KBAPA_GMBA_Area
13890,Four Peaks Range,KBAPA,GMBA,Area,0,5.999124435,-100,Range_Highland_KBAPA_GMBA_Area
13894,Dalgety Range,KBAPA,GMBA,Area,0,0.353347963,-100,Range_Highland_KBAPA_GMBA_Area
13896,Rough Ridge,KBAPA,GMBA,Area,0,0.966078762,-100,Range_Highland_KBAPA_GMBA_Area
13898,Herangi Range,KBAPA,GMBA,Area,0,0.005338757,-100,Range_Highland_KBAPA_GMBA_Area
13899,Mount Karioi Range,KBAPA,GMBA,Area,0,0.023656582,-100,Range_Highland_KBAPA_GMBA_Area
14080,Matengo Highlands,KBAPA,GMBA,Area,0,4.451712793,-100,Range_Highland_KBAPA_GMBA_Area
14272,Faroe Islands,KBAPA,GMBA,Area,0,5.521236404,-100,Range_Highland_KBAPA_GMBA_Area
14273,South Georgia and the South Sandwich Islands,KBAPA,GMBA,Area,0,4.90757E-06,-100,Range_Highland_KBAPA_GMBA_Area
14500,Eastern Hajar,KBAPA,GMBA,Area,0,18.37662225,-100,Range_Highland_KBAPA_GMBA_Area
14510,Kambui Hills,KBAPA,GMBA,Area,0,0.74005563,-100,Range_Highland_KBAPA_GMBA_Area
14554,Sierra de Chinaja,KBAPA,GMBA,Area,0,4.218884336,-100,Range_Highland_KBAPA_GMBA_Area
14584,Chaîne du Haut Piton,KBAPA,GMBA,Area,0,1.588957017,-100,Range_Highland_KBAPA_GMBA_Area
14620,Canik Mountains,KBAPA,GMBA,Area,0,1.970375084,-100,Range_Highland_KBAPA_GMBA_Area
14657,Karaman Plateau,KBAPA,GMBA,Area,0,0.625363845,-100,Range_Highland_KBAPA_GMBA_Area
14661,Kervansaray Mountains,KBAPA,GMBA,Area,0,18.64934703,-100,Range_Highland_KBAPA_GMBA_Area
14672,Taşeli Plateau,KBAPA,GMBA,Area,0,1.663211197,-100,Range_Highland_KBAPA_GMBA_Area
14711,Nif Mountains,KBAPA,GMBA,Area,0,0.394533196,-100,Range_Highland_KBAPA_GMBA_Area
14720,Karaca Mountain,KBAPA,GMBA,Area,0,1.3843072,-100,Range_Highland_KBAPA_GMBA_Area
14728,Kapıdağ Peninsula,KBAPA,GMBA,Area,0,0.146110649,-100,Range_Highland_KBAPA_GMBA_Area
14732,Karlik Mountains,KBAPA,GMBA,Area,0,15.55273612,-100,Range_Highland_KBAPA_GMBA_Area
14750,Letha Range,KBAPA,GMBA,Area,0,11.05906084,-100,Range_Highland_KBAPA_GMBA_Area
14763,Karadağ,KBAPA,GMBA,Area,0,4.699110915,-100,Range_Highland_KBAPA_GMBA_Area
14779,Monti del Goceano,KBAPA,GMBA,Area,0,89.50004515,-100,Range_Highland_KBAPA_GMBA_Area
14855,Čvrsnica Mountains,KBAPA,GMBA,Area,0,1.71326402,-100,Range_Highland_KBAPA_GMBA_Area
15039,"Sierras de Herrera, Cucalón, Oriche y Montalbán",KBAPA,GMBA,Area,0,4.621119759,-100,Range_Highland_KBAPA_GMBA_Area
15066,Los Montes de Málaga,KBAPA,GMBA,Area,0,66.37375703,-100,Range_Highland_KBAPA_GMBA_Area
15068,Sierra del Tablón,KBAPA,GMBA,Area,0,32.90052281,-100,Range_Highland_KBAPA_GMBA_Area
15142,Trusmadi Range,KBAPA,GMBA,Area,0,0.023101915,-100,Range_Highland_KBAPA_GMBA_Area
15171,Western Highlands (nn),KBAPA,GMBA,Area,0,0.089777063,-100,Range_Highland_KBAPA_GMBA_Area
15172,Akwapim Hills,KBAPA,GMBA,Area,0,46.48143564,-100,Range_Highland_KBAPA_GMBA_Area
15173,Bomi Hills,KBAPA,GMBA,Area,0,10.24416377,-100,Range_Highland_KBAPA_GMBA_Area
15311,Bisotun Range,KBAPA,GMBA,Area,0,0.353856915,-100,Range_Highland_KBAPA_GMBA_Area
15336,Vohimena,KBAPA,GMBA,Area,0,1.338507351,-100,Range_Highland_KBAPA_GMBA_Area
15429,Salzkammergut Mountains,KBAPA,GMBA,Area,0,14.55159927,-100,Range_Highland_KBAPA_GMBA_Area
15496,Santa Isabel Highlands,KBAPA,GMBA,Area,0,28.40989635,-100,Range_Highland_KBAPA_GMBA_Area
15566,Witteberge,KBAPA,GMBA,Area,0,9.183735205,-100,Range_Highland_KBAPA_GMBA_Area
15628,Sierra de Umango,KBAPA,GMBA,Area,0,0.054133355,-100,Range_Highland_KBAPA_GMBA_Area
15751,Monts de Teboursouk,KBAPA,GMBA,Area,0,1.330740616,-100,Range_Highland_KBAPA_GMBA_Area
15784,Bering Sea Islands,KBAPA,GMBA,Area,0,16.71405925,-100,Range_Highland_KBAPA_GMBA_Area
15792,Denali Range,KBAPA,GMBA,Area,0,6.699177468,-100,Range_Highland_KBAPA_GMBA_Area
15863,Teslin Plateau,KBAPA,GMBA,Area,0,2.194077221,-100,Range_Highland_KBAPA_GMBA_Area
15991,North North Carolina Blue Ridge Crest,KBAPA,GMBA,Area,0,0.133976378,-100,Range_Highland_KBAPA_GMBA_Area
16050,Vermont Upland,KBAPA,GMBA,Area,0,0.032677435,-100,Range_Highland_KBAPA_GMBA_Area
16068,South Mahoosuc Range,KBAPA,GMBA,Area,0,0.016351325,-100,Range_Highland_KBAPA_GMBA_Area
16126,Mormon Plateau,KBAPA,GMBA,Area,0,0.90546439,-100,Range_Highland_KBAPA_GMBA_Area
16218,Beezeley Hills,KBAPA,GMBA,Area,0,0.806954719,-100,Range_Highland_KBAPA_GMBA_Area
16220,East Yakima Ridges,KBAPA,GMBA,Area,0,1.56344E-07,-100,Range_Highland_KBAPA_GMBA_Area
16223,Saddle Mountains,KBAPA,GMBA,Area,0,0.003427141,-100,Range_Highland_KBAPA_GMBA_Area
16228,Eastern Washington Plateau,KBAPA,GMBA,Area,0,#N/A,#N/A,Range_Highland_KBAPA_GMBA_Area
16308,Oquirrh Mountains,KBAPA,GMBA,Area,0,2.232247835,-100,Range_Highland_KBAPA_GMBA_Area
16310,Promontory Ranges,KBAPA,GMBA,Area,0,24.65201604,-100,Range_Highland_KBAPA_GMBA_Area
16367,Black Pine Mountains,KBAPA,GMBA,Area,0,0.221873665,-100,Range_Highland_KBAPA_GMBA_Area
16379,Hog Ranch Mountains,KBAPA,GMBA,Area,0,20.0486197,-100,Range_Highland_KBAPA_GMBA_Area
16707,Mule Mountains,KBAPA,GMBA,Area,0,17.66768591,-100,Range_Highland_KBAPA_GMBA_Area
17001,Twin Sisters-Foothills,KBAPA,GMBA,Area,0,20.1761824,-100,Range_Highland_KBAPA_GMBA_Area
17051,Temblor Range,KBAPA,GMBA,Area,0,4.39670437,-100,Range_Highland_KBAPA_GMBA_Area
17070,Topatopa Mountains,KBAPA,GMBA,Area,0,2.702348512,-100,Range_Highland_KBAPA_GMBA_Area
17103,Garibaldi Neve,KBAPA,GMBA,Area,0,3.651948482,-100,Range_Highland_KBAPA_GMBA_Area
17149,Squamish-Cheakamus Divide,KBAPA,GMBA,Area,0,8.283239617,-100,Range_Highland_KBAPA_GMBA_Area
17153,Gulf Islands,KBAPA,GMBA,Area,0,0.350663282,-100,Range_Highland_KBAPA_GMBA_Area
17170,Humboldt-Mendocino Coast,KBAPA,GMBA,Area,0,8.548984126,-100,Range_Highland_KBAPA_GMBA_Area
17261,Northern Yosemite,KBAPA,GMBA,Area,0,0.007952304,-100,Range_Highland_KBAPA_GMBA_Area
17461,Snowcrest Range,KBAPA,GMBA,Area,0,3.591044726,-100,Range_Highland_KBAPA_GMBA_Area
17568,Garfield Peaks,KBAPA,GMBA,Area,0,3.883358493,-100,Range_Highland_KBAPA_GMBA_Area
17605,Craters of the Moon-Snake River Plain,KBAPA,GMBA,Area,0,32.02652789,-100,Range_Highland_KBAPA_GMBA_Area
17649,Southern San Juan Mountains,KBAPA,GMBA,Area,0,#N/A,#N/A,Range_Highland_KBAPA_GMBA_Area
17693,Sublett Range,KBAPA,GMBA,Area,0,0.00062798,-100,Range_Highland_KBAPA_GMBA_Area
17701,Wellsvillle Mountains,KBAPA,GMBA,Area,0,21.67582328,-100,Range_Highland_KBAPA_GMBA_Area
17728,Sierras Transversales,KBAPA,GMBA,Area,0,3.005902959,-100,Range_Highland_KBAPA_GMBA_Area
17740,Mesa del Centro,KBAPA,GMBA,Area,0,24.23392255,-100,Range_Highland_KBAPA_GMBA_Area
17744,Llanuras y Medanos del Norte,KBAPA,GMBA,Area,0,1.685723381,-100,Range_Highland_KBAPA_GMBA_Area
17804,Sheikh Badin Hills,KBAPA,GMBA,Area,0,38.35146164,-100,Range_Highland_KBAPA_GMBA_Area
17824,Serra da Barbanza,KBAPA,GMBA,Area,0,94.38776119,-100,Range_Highland_KBAPA_GMBA_Area
17831,Macizo Central Ourensano,KBAPA,GMBA,Area,0,21.0334657,-100,Range_Highland_KBAPA_GMBA_Area
17863,Montes Cabaleiros,KBAPA,GMBA,Area,0,95.6358214,-100,Range_Highland_KBAPA_GMBA_Area
18144,Chaîne du Galoka-Kalabenono,KBAPA,GMBA,Area,0,0.838464729,-100,Range_Highland_KBAPA_GMBA_Area
18210,Wologisi Range,KBAPA,GMBA,Area,0,14.83997017,-100,Range_Highland_KBAPA_GMBA_Area
18212,Putu Range,KBAPA,GMBA,Area,0,26.18282932,-100,Range_Highland_KBAPA_GMBA_Area
18345,Aktau Range,KBAPA,GMBA,Area,0,42.47607795,-100,Range_Highland_KBAPA_GMBA_Area
18370,Palkonda Range,KBAPA,GMBA,Area,0,5.201123829,-100,Range_Highland_KBAPA_GMBA_Area
18406,Mevakan Range,KBAPA,GMBA,Area,0,8.423602377,-100,Range_Highland_KBAPA_GMBA_Area
18422,Bukaluk Tag,KBAPA,GMBA,Area,0,23.49166165,-100,Range_Highland_KBAPA_GMBA_Area
18450,Borus Range,KBAPA,GMBA,Area,0,1.556447135,-100,Range_Highland_KBAPA_GMBA_Area
18497,Khovsgol Mountains,KBAPA,GMBA,Area,0,49.1801593,-100,Range_Highland_KBAPA_GMBA_Area
18519,Ifoto Mountains,KBAPA,GMBA,Area,0,0.275823681,-100,Range_Highland_KBAPA_GMBA_Area
18551,Arrei Mountains,KBAPA,GMBA,Area,0,4.302210638,-100,Range_Highland_KBAPA_GMBA_Area
18575,Rincon Mountains,KBAPA,GMBA,Area,0,22.1799523,-100,Range_Highland_KBAPA_GMBA_Area
18664,Sierra de Montánchez,KBAPA,GMBA,Area,0,10.74945799,-100,Range_Highland_KBAPA_GMBA_Area
18706,Serra del Montsià,KBAPA,GMBA,Area,0,62.10939971,-100,Range_Highland_KBAPA_GMBA_Area
18714,Yading Shan,KBAPA,GMBA,Area,0,6.035169878,-100,Range_Highland_KBAPA_GMBA_Area
18738,Bungo Range,KBAPA,GMBA,Area,0,6.246399954,-100,Range_Highland_KBAPA_GMBA_Area
18821,New Georgia,KBAPA,GMBA,Area,0,0.546104808,-100,Range_Highland_KBAPA_GMBA_Area
18826,Kolombangare Island,KBAPA,GMBA,Area,0,0.794563507,-100,Range_Highland_KBAPA_GMBA_Area
18828,Pohnpei,KBAPA,GMBA,Area,0,0.155773215,-100,Range_Highland_KBAPA_GMBA_Area
18846,Manus Island,KBAPA,GMBA,Area,0,2.004775491,-100,Range_Highland_KBAPA_GMBA_Area
18854,Rote Island,KBAPA,GMBA,Area,0,1.326600528,-100,Range_Highland_KBAPA_GMBA_Area
18855,Calamian Islands,KBAPA,GMBA,Area,0,2.239520837,-100,Range_Highland_KBAPA_GMBA_Area
18892,Selayar Island,KBAPA,GMBA,Area,0,1.426812451,-100,Range_Highland_KBAPA_GMBA_Area
18900,West Falkland,KBAPA,GMBA,Area,0,0.064659047,-100,Range_Highland_KBAPA_GMBA_Area
18925,Mangoli Island,KBAPA,GMBA,Area,0,0.041969246,-100,Range_Highland_KBAPA_GMBA_Area
18958,Tjörnes,KBAPA,GMBA,Area,0,4.152605593,-100,Range_Highland_KBAPA_GMBA_Area
18961,Svynadalsfjall,KBAPA,GMBA,Area,0,0.001112476,-100,Range_Highland_KBAPA_GMBA_Area
19042,Chiripa Plateau,KBAPA,GMBA,Area,0,0.396657683,-100,Range_Highland_KBAPA_GMBA_Area
19188,Amarkantak Range,KBAPA,GMBA,Area,0,35.00668621,-100,Range_Highland_KBAPA_GMBA_Area
19338,"Genale Slopes, Plateaus and Fall (nn)",KBAPA,GMBA,Area,0,8.604245777,-100,Range_Highland_KBAPA_GMBA_Area
19346,Aurès Mountains (nn),KBAPA,GMBA,Area,0,0.447557951,-100,Range_Highland_KBAPA_GMBA_Area
19349,Hoggar Mountains (nn),KBAPA,GMBA,Area,0,0.025007031,-100,Range_Highland_KBAPA_GMBA_Area
19391,Arkatag Shan (nn),KBAPA,GMBA,Area,0,0.008549008,-100,Range_Highland_KBAPA_GMBA_Area
19422,Daiyun Shan (nn),KBAPA,GMBA,Area,0,0.503329546,-100,Range_Highland_KBAPA_GMBA_Area
19424,Yunnan–Guizhou Plateau (nn),KBAPA,GMBA,Area,0,0.163401603,-100,Range_Highland_KBAPA_GMBA_Area
19475,Western Umbrian Apennines (nn),KBAPA,GMBA,Area,0,48.05816894,-100,Range_Highland_KBAPA_GMBA_Area
19499,Western Satpura Range (nn),KBAPA,GMBA,Area,0,16.79319782,-100,Range_Highland_KBAPA_GMBA_Area
19577,Chilkoot Ranges (nn),KBAPA,GMBA,Area,0,4.620264185,-100,Range_Highland_KBAPA_GMBA_Area
19616,Southern Wind River Range (nn),KBAPA,GMBA,Area,0,2.990498986,-100,Range_Highland_KBAPA_GMBA_Area
19695,Coromandel Range (nn),KBAPA,GMBA,Area,0,0.654448125,-100,Range_Highland_KBAPA_GMBA_Area
19738,Western Anatolia (nn),KBAPA,GMBA,Area,0,1.365954717,-100,Range_Highland_KBAPA_GMBA_Area
19739,Central Anatolia (nn),KBAPA,GMBA,Area,0,3.169897534,-100,Range_Highland_KBAPA_GMBA_Area
19750,Great Karoo (nn),KBAPA,GMBA,Area,0,3.733676123,-100,Range_Highland_KBAPA_GMBA_Area
19761,Karnataka Plateau (nn),KBAPA,GMBA,Area,0,22.78556664,-100,Range_Highland_KBAPA_GMBA_Area
19817,Herberton Range,KBAPA,GMBA,Area,0,0.680244887,-100,Range_Highland_KBAPA_GMBA_Area
19824,Berserker Range,KBAPA,GMBA,Area,0,37.02453055,-100,Range_Highland_KBAPA_GMBA_Area
19921,Subbaetic System (nn),KBAPA,GMBA,Area,0,0.123067702,-100,Range_Highland_KBAPA_GMBA_Area
19958,Great Lakes Depression,KBAPA,GMBA,Area,0,61.95824462,-100,Range_Highland_KBAPA_GMBA_Area
19960,Tranninh Plateau (nn),KBAPA,GMBA,Area,0,0.354309942,-100,Range_Highland_KBAPA_GMBA_Area
20038,East Sahara Mountains (nn),KBAPA,GMBA,Area,0,47.96601924,-100,Range_Highland_KBAPA_GMBA_Area
20047,Penibaetic System (nn),KBAPA,GMBA,Area,0,1.592469367,-100,Range_Highland_KBAPA_GMBA_Area
20115,Khust Basin,KBAPA,GMBA,Area,0,0.467627346,-100,Range_Highland_KBAPA_GMBA_Area
20164,Buzău Mountains,KBAPA,GMBA,Area,0,23.37480464,-100,Range_Highland_KBAPA_GMBA_Area
20214,White Carpathians,KBAPA,GMBA,Area,0,94.50861237,-100,Range_Highland_KBAPA_GMBA_Area
20314,Javorie,KBAPA,GMBA,Area,0,22.28590304,-100,Range_Highland_KBAPA_GMBA_Area
20382,Lofottindan,KBAPA,GMBA,Area,0,0.493577719,-100,Range_Highland_KBAPA_GMBA_Area
20408,Hærvola,KBAPA,GMBA,Area,0,18.58586751,-100,Range_Highland_KBAPA_GMBA_Area
20429,Masi,KBAPA,GMBA,Area,0,0.105339918,-100,Range_Highland_KBAPA_GMBA_Area
20475,Åseralsheiane,KBAPA,GMBA,Area,0,33.14166239,-100,Range_Highland_KBAPA_GMBA_Area
20542,Borselvfjellet,KBAPA,GMBA,Area,0,5.086957961,-100,Range_Highland_KBAPA_GMBA_Area
20543,Svaerholt Peninsula,KBAPA,GMBA,Area,0,13.11207727,-100,Range_Highland_KBAPA_GMBA_Area
20591,Reykjanes,KBAPA,GMBA,Area,0,2.238635631,-100,Range_Highland_KBAPA_GMBA_Area
20595,Esja,KBAPA,GMBA,Area,0,45.53119326,-100,Range_Highland_KBAPA_GMBA_Area
20602,Austurland Ranges (nn),KBAPA,GMBA,Area,0,0.388286108,-100,Range_Highland_KBAPA_GMBA_Area
20614,Aïdour,KBAPA,GMBA,Area,0,28.75524148,-100,Range_Highland_KBAPA_GMBA_Area
20621,Massif du Tamgue,KBAPA,GMBA,Area,0,77.68545265,-100,Range_Highland_KBAPA_GMBA_Area
20623,Zebidar Massif,KBAPA,GMBA,Area,0,0.946666431,-100,Range_Highland_KBAPA_GMBA_Area
20638,Sierra de Tecka,KBAPA,GMBA,Area,0,9.956243457,-100,Range_Highland_KBAPA_GMBA_Area
20707,Puer Range,KBAPA,GMBA,Area,0,2.898344068,-100,Range_Highland_KBAPA_GMBA_Area
20734,Zortoshkol Ridge,KBAPA,GMBA,Area,0,0.330016529,-100,Range_Highland_KBAPA_GMBA_Area
20754,Serranía de San Simón,KBAPA,GMBA,Area,0,5.376560078,-100,Range_Highland_KBAPA_GMBA_Area
20762,Burkalsky Range,KBAPA,GMBA,Area,0,39.602007,-100,Range_Highland_KBAPA_GMBA_Area
20768,Boroboro Mountains,KBAPA,GMBA,Area,0,14.98161984,-100,Range_Highland_KBAPA_GMBA_Area
20797,Buqin Shan,KBAPA,GMBA,Area,0,1.393714435,-100,Range_Highland_KBAPA_GMBA_Area
20800,Changbai Mountains (nn),KBAPA,GMBA,Area,0,11.75326586,-100,Range_Highland_KBAPA_GMBA_Area
20853,Mayombe Mountains (nn),KBAPA,GMBA,Area,0,13.8599906,-100,Range_Highland_KBAPA_GMBA_Area
20855,Gojjam Highlands (nn),KBAPA,GMBA,Area,0,0.451372951,-100,Range_Highland_KBAPA_GMBA_Area
20882,Porsanger Peninsula (nn),KBAPA,GMBA,Area,0,7.815604254,-100,Range_Highland_KBAPA_GMBA_Area
21044,Western Lowlands (nn),KBAPA,GMBA,Area,0,38.33533919,-100,Range_Highland_KBAPA_GMBA_Area
