"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
30673,16641601.1398512,5114749.35734549,1948,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",0,0,1,0,28183126245.4152,NA,"",0.30734719059558
30673,16641601.1398512,5529835.4383302,1959,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",0,0,1,0,28183126245.4152,NA,"",0.332289867534923
30673,16641601.1398512,56017.3967731817,1964,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",0,0,1,0,28183126245.4152,NA,"",0.00336610619990394
30673,16641601.1398512,3163410.54906693,2003,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",0,0,1,0,28183126245.4152,NA,"",0.190090516079705
30673,16641601.1398512,1110.89338602357,2013,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",0,0,1,0,28183126245.4152,NA,"",6.67539966069334e-05
26729,3538782.0167799,0,0,FALSE,0,"20818","JPN","Echigo Mountains","JPN",NA,NA,0,1,0,0,777124464.991727,NA,"no pas overlapping this kba",0
8178,2379165.83035302,0,0,FALSE,0,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",NA,NA,0,1,0,0,21088680.5449585,NA,"no pas overlapping this kba",0
8172,36013170.2294759,2594391.21039906,1967,FALSE,3,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",TRUE,"14099",0,1,0,1,222229166.043792,NA,"",0.0720400673938895
8172,36013170.2294759,2926629.42504281,1972,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",TRUE,"14099",0,1,0,1,222229166.043792,NA,"",0.0812655316484034
8172,36013170.2294759,25644.5463149236,2002,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",TRUE,"14099",0,1,0,1,222229166.043792,NA,"",0.000712087998682609
46647,108055799.505708,8382423.44342327,1972,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,216303129.827994,NA,"",0.0775749518468048
46647,108055799.505708,9765475.37051513,1999,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,216303129.827994,NA,"",0.0903743752319309
46647,108055799.505708,31193815.0819774,2002,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,216303129.827994,NA,"",0.288682469841239
10502,130678144.041746,1721970.80522236,1967,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",0.0131771905535502
10502,130678144.041746,6263.46676071361,1971,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",4.79304845247322e-05
10502,130678144.041746,2240607.32971469,1982,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",0.0171459990203023
10502,130678144.041746,75205512.4236981,2003,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",0.575501840611338
10502,130678144.041746,558779.562524337,2008,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",0.00427599861187066
10502,130678144.041746,254986.663528713,2012,TRUE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","PSE",FALSE,"14099",0,1,0,0,221097298.070102,NA,"",0.00195125715473321
46599,3266559.37685716,0,0,FALSE,0,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","LBN",NA,NA,0,1,0,0,43868514.2288493,NA,"no pas overlapping this kba",0
20309,57180.7489079796,0,0,FALSE,0,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","JOR",NA,NA,0,1,0,0,59703432.2000589,NA,"no pas overlapping this kba",0
8175,117770022.727893,4770.95051483251,1965,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",4.05107378288936e-05
8175,117770022.727893,646344.731281997,1967,FALSE,2,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",0.00548819399292613
8175,117770022.727893,1116033.89283572,1968,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",0.00947638343769628
8175,117770022.727893,5939812.94136218,1974,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",0.0504356949568235
8175,117770022.727893,562685.762940171,1976,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",0.00477783522416611
8175,117770022.727893,7145159.59402432,2005,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,465814585.508409,NA,"",0.0606704442142562
8177,22595254.1351428,67195.8081077482,1969,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,112606930.251491,NA,"",0.00297389034466478
8177,22595254.1351428,693485.124036891,1974,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,112606930.251491,NA,"",0.0306916275377625
8177,22595254.1351428,129099.637098954,2016,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,112606930.251491,NA,"",0.00571357313915594
8183,17780116.940988,1049713.34679227,2003,FALSE,1,"14099","PSE;ISR;LBN;JOR","Judaean Mountains","ISR",FALSE,"14099",0,1,0,1,452140449.918743,NA,"",0.0590386075792558
24784,10426023.6770821,10426023.6711641,2019,FALSE,2,"21014","CHL","Archipiélago de Hanover","CHL",FALSE,"21014",0,1,1,0,10496610.1401217,NA,"",0.99999999943238
45284,1455640.71379342,39638.4091536459,1991,FALSE,1,"14776","ITA","Gargano","ITA",FALSE,"14776",0,1,1,0,6453317666.15328,NA,"",0.0272309016765184
10202,54412275.0461379,0,0,FALSE,0,"13083","MEX","Sierra Mazateca","MEX",NA,NA,0,1,0,0,607767609.856371,NA,"no overlaps btwn PAs and kbas in this range",0
10192,56882716.8965518,0,0,FALSE,0,"13083","MEX","Sierra Mazateca","MEX",NA,NA,0,1,0,0,675723712.519481,NA,"no overlaps btwn PAs and kbas in this range",0
10168,17314391.0599511,14226711.0450936,2008,FALSE,2,"14556","MEX","Sierra de Istatán","MEX",FALSE,"14556",0,1,1,1,2306406457.73163,NA,"",0.821669731025113
14625,4719283.61633465,0,0,FALSE,0,"15626","ECU","Cordillera Chongon Colonche","ECU",NA,NA,0,1,0,0,295962455.401986,NA,"no overlaps btwn PAs and kbas in this range",0
