SitRecID,COUNTRY,ISO,percPA,terrestrial,Freshwater,marine,mountain,PA Coverage
11,Portugal,PRT,99.81161115,1,0,1,0,complete
12,Portugal,PRT,87.27649256,1,0,1,0,partial
17,Gibraltar (to UK),GIB,0,1,0,0,1,none
18,Gibraltar (to UK),GIB,0,1,0,1,0,none
19,Andorra,AND,26.08457184,1,0,0,1,partial
21,Cyprus,CYP,0,1,0,0,1,none
24,Cyprus,CYP,99.21471641,1,0,0,0,complete
25,Cyprus,CYP,54.82568309,1,0,0,1,partial
26,Cyprus,CYP,100,1,0,0,1,complete
27,Cyprus,CYP,100,1,0,0,1,complete
29,Cyprus,CYP,76.66765994,1,0,0,0,partial
30,Cyprus,CYP,72.71711477,1,0,1,0,partial
33,Cyprus,CYP,100,1,0,1,0,complete
34,Cyprus,CYP,65.84732696,1,0,0,1,partial
35,Czechia,CZE,99.71806316,1,1,0,1,complete
36,Czechia,CZE,99.24377162,1,1,0,0,complete
37,Czechia,CZE,91.71377147,1,1,0,1,partial
38,Czechia,CZE,88.11327583,1,1,0,0,partial
39,Czechia,CZE,95.8457117,1,1,0,0,partial
40,Czechia,CZE,98.07091043,1,0,0,0,complete
41,Czechia,CZE,98.53387148,1,0,0,0,complete
42,Czechia,CZE,98.2305098,1,1,0,0,complete
43,Czechia,CZE,99.91701738,1,1,0,0,complete
44,Malta,MLT,98.59719125,1,0,1,0,complete
45,Malta,MLT,99.74697501,1,0,0,0,complete
46,Malta,MLT,99.22600727,1,0,1,0,complete
47,Malta,MLT,98.10705873,1,0,1,0,complete
48,Greenland (to Denmark),GRL,100,1,0,1,1,complete
49,Greenland (to Denmark),GRL,100,1,0,1,1,complete
50,Greenland (to Denmark),GRL,100,1,0,1,1,complete
51,Greenland (to Denmark),GRL,100,1,0,1,0,complete
52,Greenland (to Denmark),GRL,91.53442954,1,0,1,1,partial
53,Greenland (to Denmark),GRL,93.40528947,1,0,1,1,partial
54,Greenland (to Denmark),GRL,61.73344937,1,0,1,1,partial
55,Greenland (to Denmark),GRL,74.31146469,1,0,1,0,partial
56,Greenland (to Denmark),GRL,0,1,0,1,0,none
57,Greenland (to Denmark),GRL,0,1,0,1,1,none
58,Greenland (to Denmark),GRL,81.3355603,1,0,1,0,partial
59,Greenland (to Denmark),GRL,93.71479865,1,0,1,0,partial
60,Greenland (to Denmark),GRL,0,1,0,1,1,none
61,Greenland (to Denmark),GRL,0,1,0,1,1,none
62,Greenland (to Denmark),GRL,0,1,0,1,1,none
63,Greenland (to Denmark),GRL,0,1,0,1,1,none
64,Greenland (to Denmark),GRL,99.59280207,1,0,1,1,complete
65,Greenland (to Denmark),GRL,0,1,0,1,0,none
66,Greenland (to Denmark),GRL,88.3027781,1,0,1,0,partial
67,Greenland (to Denmark),GRL,70.99368851,1,0,1,0,partial
68,Greenland (to Denmark),GRL,0,1,0,1,0,none
69,Greenland (to Denmark),GRL,66.09686823,1,0,1,1,partial
70,Greenland (to Denmark),GRL,0,1,0,1,0,none
71,Greenland (to Denmark),GRL,11.08208829,1,0,1,1,partial
72,Greenland (to Denmark),GRL,0,1,0,1,0,none
73,Greenland (to Denmark),GRL,0,1,0,1,0,none
74,Greenland (to Denmark),GRL,0,1,0,1,0,none
75,Greenland (to Denmark),GRL,0,1,0,1,0,none
76,Greenland (to Denmark),GRL,0,1,0,1,0,none
77,Greenland (to Denmark),GRL,0,1,0,1,1,none
78,Greenland (to Denmark),GRL,0,1,0,1,0,none
79,Greenland (to Denmark),GRL,0,1,0,1,0,none
80,Greenland (to Denmark),GRL,0,1,0,1,1,none
81,Greenland (to Denmark),GRL,0,1,0,1,0,none
82,Greenland (to Denmark),GRL,0,1,0,1,0,none
83,Faroe Islands (to Denmark),FRO,100,1,0,1,0,complete
84,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
85,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
86,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
87,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
88,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
89,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
90,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
91,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
92,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
93,Faroe Islands (to Denmark),FRO,100,1,0,1,0,complete
94,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
95,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
96,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
97,Faroe Islands (to Denmark),FRO,0,1,0,0,0,none
98,Faroe Islands (to Denmark),FRO,100,1,0,1,0,complete
99,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
100,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
101,Faroe Islands (to Denmark),FRO,0,1,0,1,0,none
102,Bosnia and Herzegovina,BIH,99.87495185,1,1,0,0,complete
103,Bosnia and Herzegovina,BIH,0,1,0,0,1,none
104,Serbia,SRB,82.84171904,1,1,0,0,partial
105,Serbia,SRB,1.175141997,1,1,0,0,none
106,Serbia,SRB,8.091858562,1,1,0,0,partial
107,Serbia,SRB,18.36758422,1,1,0,0,partial
108,Serbia,SRB,24.94459231,1,1,0,0,partial
109,Serbia,SRB,62.01997798,1,1,0,0,partial
110,Serbia,SRB,70.22367923,1,0,0,0,partial
111,Serbia,SRB,39.13720036,1,1,0,0,partial
113,Serbia,SRB,22.22317583,1,1,0,0,partial
114,Montenegro,MNE,100,1,0,0,1,complete
115,Montenegro,MNE,98.44537471,1,1,0,0,complete
116,Montenegro,MNE,0,1,1,0,0,none
117,Montenegro,MNE,95.70846115,1,0,1,0,partial
120,North Macedonia,MKD,7.064894875,1,0,0,1,partial
124,North Macedonia,MKD,2.942057426,1,0,0,1,partial
126,North Macedonia,MKD,99.80276448,1,1,0,1,complete
127,North Macedonia,MKD,98.85713886,1,1,0,1,complete
128,North Macedonia,MKD,82.25797549,1,1,0,0,partial
129,Bosnia and Herzegovina,BIH,99.99999795,1,1,0,0,complete
130,Serbia,SRB,51.42374053,1,0,0,1,partial
131,Serbia,SRB,8.631630689,1,1,0,0,partial
132,North Macedonia,MKD,99.99676299,1,0,0,1,complete
133,Georgia,GEO,51.54503501,1,0,0,1,partial
134,Georgia,GEO,49.91258756,1,0,0,1,partial
135,Georgia,GEO,99.04661733,1,1,0,1,complete
136,Georgia,GEO,61.56115775,1,0,0,1,partial
137,Georgia,GEO,72.67998174,1,0,0,1,partial
138,Georgia,GEO,41.09004169,1,0,0,1,partial
139,Azerbaijan,AZE,80.00938293,1,0,0,0,partial
140,Azerbaijan,AZE,85.46217038,1,0,0,1,partial
141,Azerbaijan,AZE,81.1184617,1,0,0,1,partial
142,Azerbaijan,AZE,98.41038537,1,1,0,0,complete
143,Azerbaijan,AZE,46.66961459,1,1,0,0,partial
144,Azerbaijan,AZE,88.20363886,1,1,0,0,partial
145,Azerbaijan,AZE,49.87251641,1,0,0,1,partial
146,Azerbaijan,AZE,81.97355709,1,0,0,1,partial
147,Azerbaijan,AZE,0,1,1,0,0,none
148,Azerbaijan,AZE,0,1,0,0,0,none
149,Azerbaijan,AZE,86.05129594,1,0,0,1,partial
150,Azerbaijan,AZE,47.08959855,1,0,0,0,partial
151,Azerbaijan,AZE,32.19320619,1,0,0,1,partial
152,Azerbaijan,AZE,79.65429712,1,0,0,1,partial
153,Azerbaijan,AZE,0,1,0,0,0,none
154,Azerbaijan,AZE,87.52648643,1,0,0,1,partial
155,Azerbaijan,AZE,61.44865189,1,0,0,1,partial
156,Azerbaijan,AZE,0,1,1,0,0,none
157,Azerbaijan,AZE,82.97256033,1,0,0,1,partial
158,Azerbaijan,AZE,0,1,1,0,0,none
159,Azerbaijan,AZE,15.35586129,1,0,0,1,partial
160,Azerbaijan,AZE,84.86178999,1,0,0,1,partial
161,Azerbaijan,AZE,49.64168768,1,1,0,0,partial
162,Azerbaijan,AZE,0,1,0,0,0,none
163,Azerbaijan,AZE,63.94843718,1,0,0,1,partial
164,Azerbaijan,AZE,47.62221795,1,0,0,1,partial
165,Azerbaijan,AZE,96.56412935,1,0,0,1,partial
166,Azerbaijan,AZE,0,1,0,0,1,none
167,Azerbaijan,AZE,41.31894305,1,0,0,1,partial
168,Azerbaijan,AZE,0,1,1,0,0,none
169,Azerbaijan,AZE,64.91841983,1,0,0,1,partial
170,Azerbaijan,AZE,59.57223416,1,0,0,1,partial
171,Azerbaijan,AZE,0,1,1,0,0,none
172,Azerbaijan,AZE,0,1,0,0,0,none
173,Azerbaijan,AZE,85.16743444,1,0,0,1,partial
174,Azerbaijan,AZE,93.02849022,1,0,0,1,partial
175,Azerbaijan,AZE,0,1,1,0,0,none
176,Azerbaijan,AZE,0,1,1,0,0,none
177,Azerbaijan,AZE,0,1,1,0,0,none
178,Azerbaijan,AZE,0,1,1,0,0,none
179,Azerbaijan,AZE,7.609361749,1,1,0,0,partial
180,Azerbaijan,AZE,74.45677926,1,0,0,1,partial
181,Azerbaijan,AZE,0,1,0,0,1,none
182,Azerbaijan,AZE,91.36008902,1,0,0,0,partial
183,Azerbaijan,AZE,0,1,0,0,1,none
184,Azerbaijan,AZE,0,1,1,0,0,none
185,Azerbaijan,AZE,0,1,1,0,0,none
186,Azerbaijan,AZE,0,1,0,0,1,none
187,Azerbaijan,AZE,0,1,1,0,0,none
188,Azerbaijan,AZE,0,1,0,0,1,none
189,Malta,MLT,98.08732505,1,0,1,0,complete
190,Belarus,BLR,96.74220479,1,1,0,0,partial
191,Belarus,BLR,86.03700838,1,1,0,0,partial
192,Belarus,BLR,99.5843051,1,1,0,0,complete
195,Belarus,BLR,99.59627681,1,1,0,0,complete
196,Belarus,BLR,96.65214463,1,1,0,0,partial
198,Belarus,BLR,36.36425827,1,1,0,0,partial
199,Belarus,BLR,86.74765501,1,1,0,0,partial
200,Belarus,BLR,86.63424522,1,1,0,0,partial
202,Belarus,BLR,7.248494598,1,1,0,0,partial
203,Belarus,BLR,88.50061561,1,1,0,0,partial
204,Belarus,BLR,3.993484628,1,1,0,0,partial
205,Belarus,BLR,91.8860356,1,0,0,0,partial
206,Belarus,BLR,98.03893208,1,1,0,0,complete
207,Belarus,BLR,13.00466523,1,0,0,0,partial
208,Belarus,BLR,0,1,1,0,0,none
209,Belarus,BLR,0,1,1,0,0,none
210,Belarus,BLR,96.70323236,1,1,0,0,partial
211,Lithuania,LTU,79.85738536,1,0,0,0,partial
212,Lithuania,LTU,99.97500899,1,0,0,0,complete
213,Lithuania,LTU,99.22984458,1,0,1,0,complete
214,Lithuania,LTU,99.71052778,1,1,0,0,complete
215,Lithuania,LTU,99.17947401,1,1,0,0,complete
216,Lithuania,LTU,100,1,1,0,0,complete
219,Lithuania,LTU,98.88521335,1,1,0,0,complete
220,Lithuania,LTU,43.0883362,0,0,1,0,partial
221,Lithuania,LTU,99.90652523,1,0,1,0,complete
222,Lithuania,LTU,59.19658937,0,0,1,0,partial
223,Lithuania,LTU,35.03019632,1,1,0,0,partial
224,Lithuania,LTU,98.54174741,1,1,0,0,complete
226,Lithuania,LTU,99.26878633,1,0,1,0,complete
229,Lithuania,LTU,99.99814054,1,1,0,0,complete
230,Lithuania,LTU,99.9098113,1,1,0,0,complete
231,Lithuania,LTU,99.98311306,1,1,0,0,complete
232,Lithuania,LTU,99.95555822,1,0,0,0,complete
235,Lithuania,LTU,98.20064,1,0,0,0,complete
236,Lithuania,LTU,99.96457898,1,0,0,0,complete
237,Lithuania,LTU,99.77967832,1,0,0,0,complete
238,Lithuania,LTU,99.44554308,1,1,0,0,complete
239,Lithuania,LTU,99.9625159,1,0,0,0,complete
241,Lithuania,LTU,99.93983581,1,0,0,0,complete
242,Lithuania,LTU,81.36439933,1,1,0,0,partial
243,Lithuania,LTU,74.29622257,1,0,0,0,partial
256,Liechtenstein,LIE,62.99780296,1,0,0,1,partial
257,Liechtenstein,LIE,98.60411235,1,0,0,1,complete
259,Estonia,EST,99.75029792,1,1,0,0,complete
260,Estonia,EST,82.01304845,1,1,0,0,partial
262,Estonia,EST,92.30633279,1,0,1,0,partial
265,Estonia,EST,99.92492121,1,0,1,0,complete
269,Estonia,EST,95.65602418,1,1,0,0,partial
271,Estonia,EST,99.92289166,1,0,1,0,complete
273,Estonia,EST,96.52562766,1,0,1,0,partial
276,Estonia,EST,97.90663406,1,0,1,0,partial
278,Estonia,EST,99.21615518,1,1,0,0,complete
282,Estonia,EST,98.33799805,1,0,1,0,complete
283,Estonia,EST,99.28373377,1,0,1,0,complete
286,Estonia,EST,98.65712882,1,0,1,0,complete
287,Estonia,EST,98.2517036,1,0,1,0,complete
288,Estonia,EST,97.68093659,1,0,1,0,partial
289,Estonia,EST,98.79938861,1,0,1,0,complete
290,Estonia,EST,99.47901295,1,0,1,0,complete
292,Estonia,EST,98.79987404,1,1,0,0,complete
293,Estonia,EST,96.50572255,1,0,0,0,partial
294,Estonia,EST,90.28322536,1,1,0,0,partial
295,Estonia,EST,99.12068637,1,1,0,0,complete
297,Estonia,EST,99.06208669,1,1,0,0,complete
298,Estonia,EST,99.39258715,1,1,0,0,complete
299,Estonia,EST,95.66334008,1,1,0,0,partial
300,Estonia,EST,81.52694268,1,1,0,0,partial
301,Cyprus,CYP,45.16555512,1,1,0,0,partial
302,Latvia,LVA,98.86249691,1,1,0,0,complete
303,Latvia,LVA,98.78800336,1,1,0,0,complete
304,Latvia,LVA,99.45495675,1,1,0,0,complete
305,Latvia,LVA,97.35767361,1,0,1,0,partial
307,Latvia,LVA,99.45787299,1,0,1,0,complete
308,Latvia,LVA,98.47575327,1,0,1,0,complete
310,Latvia,LVA,94.85519702,1,0,1,0,partial
312,Latvia,LVA,99.24221694,1,0,1,0,complete
314,Latvia,LVA,98.86115935,1,1,0,0,complete
317,Latvia,LVA,97.99395079,1,1,0,0,partial
318,Latvia,LVA,96.64594649,1,1,0,0,partial
319,Latvia,LVA,98.53599705,1,1,0,0,complete
320,Latvia,LVA,99.88350076,1,1,0,0,complete
321,Latvia,LVA,93.96544764,1,0,1,0,partial
322,Latvia,LVA,97.72975629,1,1,0,0,partial
323,Latvia,LVA,95.67420571,1,1,0,0,partial
324,Latvia,LVA,91.74017807,1,0,1,0,partial
325,Latvia,LVA,95.96266295,1,1,0,0,partial
326,Latvia,LVA,99.19214063,1,1,0,0,complete
330,Latvia,LVA,96.12928025,1,1,0,0,partial
331,Latvia,LVA,94.20995469,1,1,0,0,partial
332,Latvia,LVA,91.79024949,1,1,0,0,partial
333,Latvia,LVA,98.27439516,1,1,0,0,complete
334,Latvia,LVA,95.89650465,1,1,0,0,partial
335,Latvia,LVA,97.13309326,1,1,0,0,partial
336,Latvia,LVA,97.0430924,1,1,0,0,partial
337,Latvia,LVA,98.90435052,1,0,1,0,complete
338,Latvia,LVA,97.00882246,1,1,0,0,partial
341,Latvia,LVA,99.64657748,1,0,1,0,complete
342,Latvia,LVA,97.3101567,1,0,0,0,partial
344,Latvia,LVA,95.60920037,1,1,0,0,partial
346,Latvia,LVA,97.45737514,1,1,0,0,partial
347,Latvia,LVA,96.81277208,1,0,0,0,partial
349,Latvia,LVA,100,1,1,0,0,complete
350,Latvia,LVA,81.76300116,1,0,1,0,partial
351,Latvia,LVA,99.7753446,1,0,0,0,complete
352,Latvia,LVA,96.27157883,1,0,0,0,partial
354,Latvia,LVA,100,1,1,0,0,complete
355,Latvia,LVA,100,1,1,0,0,complete
357,Latvia,LVA,99.28849162,1,0,0,0,complete
358,Latvia,LVA,97.45065692,1,1,0,0,partial
359,Latvia,LVA,97.20896102,1,0,0,0,partial
360,Portugal,PRT,82.88254882,1,0,1,0,partial
361,Portugal,PRT,98.24069291,1,0,0,1,complete
362,Portugal,PRT,98.30501633,1,1,0,1,complete
363,Portugal,PRT,95.86992494,1,1,0,1,partial
364,Portugal,PRT,97.52964933,1,0,1,0,partial
