"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","mountain","terrestrial","note","percPA"
31344,15639573862.2567,7048.15441572984,2009,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","ASM",FALSE,NA,FALSE,NA,NA,"",4.50661538338926e-07
31347,50601049.5758451,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","ASM",NA,NA,NA,NA,NA,"no pas overlapping this kba",0
24487,3532286.46957764,2722207.51946643,2009,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.770664424562351
24487,3532286.46957764,841.928967616449,2011,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.000238352402860779
301,3790265.5347834,1711894.48173121,2008,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.451655554477937
24491,698789.449106912,93418.961927794,1984,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.133686852380482
24491,698789.449106912,576883.976862846,2008,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.825547634699026
24491,698789.449106912,1615.365264897,2014,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.00231166235689666
24491,698789.449106912,64.417604078626,2018,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",9.21845688439558e-05
29,12098904.9424743,4401864.46248929,1993,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.363823377687361
29,12098904.9424743,4512084.32331667,2007,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.372933281546547
29,12098904.9424743,2813.35670873503,2008,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.000232529863000948
29,12098904.9424743,364050.581126954,2014,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",0.0300895480093345
29,12098904.9424743,386.166310025102,2016,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","CYP",FALSE,NA,FALSE,0,1,"",3.19174596264024e-05
31300,4479495.31979275,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","CYP",NA,NA,NA,0,1,"no pas overlapping this kba",0
6918,81441378.826623,70723682.4245662,2001,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.868399865566211
6924,1480922.98065792,1275149.7659834,2013,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.861050697867418
6931,3771319.59863463,2416247.03915359,2007,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.640690075704102
46622,22570671.5851445,10627240.7423807,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.470842912329437
6936,13889576.9344146,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6937,135586259.104095,103499659.63498,1993,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.763349179473411
6939,999518.385245338,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6941,443763795.847615,358656455.163794,1954,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.808214772182436
6941,443763795.847615,21713.8581263252,2012,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",4.89311168002122e-05
6943,153330878.985735,30199028.5889498,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.196953339005898
6944,336704295.088604,16824356.8713999,2007,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.0499677524665153
6949,159328421.66305,58127221.3854618,1979,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.364826443259384
6949,159328421.66305,4310.03722279484,1993,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",2.70512767138921e-05
6949,159328421.66305,4310.03722279484,2001,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",2.70512767138921e-05
6949,159328421.66305,4310.03722279484,2007,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",2.70512767138921e-05
6951,16159937.0020867,6246794.77453646,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.386560589544987
