"","SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
"84",2703,1612790.57989811,48.729947655556,2012,FALSE,1,19020,"GBR","Isle of Man","GBR",FALSE,19020,0,1,1,0,18334933.1380728,NA,"",3.02146777535337e-05
"85",2703,1612790.57989811,163033.677418607,2018,FALSE,4,19020,"GBR","Isle of Man","GBR",FALSE,19020,0,1,1,0,18334933.1380728,NA,"",0.101087940028089
"86",20820,901014.793523625,102827.134170251,1980,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,0,1123449.11617403,NA,"",0.114123691319342
"87",20820,901014.793523625,791798.954419148,2000,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,0,1123449.11617403,NA,"",0.878785742598783
"88",2612,1249316.28590191,312918.714987893,1969,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,7792786.82876221,NA,"",0.25047197296559
"89",2612,1249316.28590191,243333.62157177,1972,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,7792786.82876221,NA,"",0.19477343273093
"90",2612,1249316.28590191,655042.237303969,1980,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,7792786.82876221,NA,"",0.524320578140132
"91",2612,1249316.28590191,0,1984,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,7792786.82876221,NA,"",0
"92",2612,1249316.28590191,36171.2504529218,1985,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,7792786.82876221,NA,"",0.0289528367324605
"93",2511,185675.904666822,184711.698674289,1955,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,0,5105303.92114641,NA,"",0.994807048366009
"94",2475,623541.642714701,622756.452372408,1993,FALSE,1,19468,"GBR","Grampian Mountains (UK) (nn)","GBR",FALSE,19468,0,1,0,1,13414066.0719465,NA,"",0.998740757170806
"95",20813,895874.437485845,895874.437485845,1951,FALSE,1,19018,"GBR","Snowdonia","GBR",FALSE,19018,0,1,0,0,895874.437436282,NA,"",1
"96",2623,183198.857495767,182240.280402133,1971,FALSE,1,19018,"GBR","Snowdonia","GBR",FALSE,19018,0,1,1,0,27047542.1317909,NA,"",0.994767559652185
"97",2450,185033.578192278,120540.299966138,1951,FALSE,1,19018,"GBR","Snowdonia","GBR",FALSE,19018,0,1,1,0,20662344.750809,NA,"",0.651450948221293
"98",2450,185033.578192278,64487.0482928258,1954,FALSE,1,19018,"GBR","Snowdonia","GBR",FALSE,19018,0,1,1,0,20662344.750809,NA,"",0.348515382574583
"99",20803,17991216.6870144,17973584.674561,1971,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,22896838.398436,"clipped by: 20802 ;","",0.999019965533175
"100",20801,10549304.5548271,10133327.2592837,2005,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,10549304.5548729,NA,"",0.960568273161372
"101",20784,2082465.01122259,2078070.3781732,1989,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,2082465.0112614,NA,"",0.997889696573192
