"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
46627,482303134.045232,9797730.84096965,1996,FALSE,1,"11667","ALB","Nemërçka Mountains","ALB",TRUE,"11667;14812;15150;15155;18413;19483;19485",TRUE,"",0.0203144664617726
46627,482303134.045232,47594338.781651,2008,FALSE,1,"11667","ALB","Nemërçka Mountains","ALB",TRUE,"11667;14812;15150;15155;18413;19483;19485",TRUE,"",0.0986813798667696
46627,482303134.045232,120370364.899507,2018,FALSE,1,"11667","ALB","Nemërçka Mountains","ALB",TRUE,"11667;14812;15150;15155;18413;19483;19485",TRUE,"",0.24957408816717
