"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
2718,22474381.9569006,14510692.6478229,1976,FALSE,1,"15395","ITA;CHE","Adula Alps","ITA",TRUE,"10055;15395",TRUE,"",0.645654802683793
2718,22474381.9569006,2814932.7344743,1985,FALSE,1,"15395","ITA;CHE","Adula Alps","ITA",TRUE,"10055;15395",TRUE,"",0.125250729469337
2718,22474381.9569006,44946.0339349709,1988,FALSE,1,"15395","ITA;CHE","Adula Alps","ITA",TRUE,"10055;15395",TRUE,"",0.00199987852930347
2718,22474381.9569006,1138497.81712382,2014,FALSE,2,"15395","ITA;CHE","Adula Alps","ITA",TRUE,"10055;15395",TRUE,"",0.0506575806759504
3283,288933111.091258,2333786.56913103,1992,FALSE,3,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.00807725552920072
3283,288933111.091258,92272.8994851969,1994,FALSE,3,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.000319357304314122
3283,288933111.091258,75305.2759898677,1996,FALSE,2,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.000260632212436473
3283,288933111.091258,410548.409014031,1998,FALSE,1,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.00142091159944753
3283,288933111.091258,14358.7945941435,2001,FALSE,3,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",4.96959124550054e-05
3283,288933111.091258,3521.01942628622,2003,FALSE,1,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",1.21862787306995e-05
3283,288933111.091258,21082410.2753637,2009,FALSE,1,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.0729664045624211
3283,288933111.091258,2563861.99996134,2010,FALSE,75,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.00887354858803827
3283,288933111.091258,676316.709130287,2017,FALSE,3,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.00234073798802753
3283,288933111.091258,6584346.91767587,2018,FALSE,29,"15395","ITA;CHE","Adula Alps","CHE",TRUE,"10053;10059;15395;19450",TRUE,"",0.0227884817105515
