"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
29594,3576743354.81751,929071384.438792,1926,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.25975343833027
29594,3576743354.81751,1171270397.1468,1961,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.327468392600554
29594,3576743354.81751,8877222.41252922,1975,FALSE,6,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.0024819288195706
29594,3576743354.81751,20218.03493009,1978,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",5.65263786758934e-06
29594,3576743354.81751,521.140386481567,1983,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",1.45702482617223e-07
29594,3576743354.81751,NA,1984,FALSE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",NA
29594,3576743354.81751,2711617.35859776,1985,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.000758124665261623
29594,3576743354.81751,104114549.826622,1986,FALSE,5,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.0291087560661544
29594,3576743354.81751,224.124568007886,1991,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",6.26616298052286e-08
29594,3576743354.81751,1259667725.24191,1992,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",0.352182865886998
29594,3576743354.81751,353240.376856757,1993,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",9.87603363772182e-05
29594,3576743354.81751,30819.1107545272,1996,FALSE,2,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",8.61652841628039e-06
29594,3576743354.81751,101.607638152316,1999,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",2.84078638226757e-08
29594,3576743354.81751,3547.84145011753,2005,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",9.91919491606504e-07
29594,3576743354.81751,0.000769078731536865,2007,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",2.1502206203892e-13
29594,3576743354.81751,NA,2010,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",NA
29594,3576743354.81751,8.79524984396994,2016,FALSE,1,"15994","USA","Unicoi Mountains","USA",TRUE,"15976;15978;15980;15981;15990;15994;15996;15997;15999;16001;16002;19641;19643",TRUE,"",2.45901060586962e-09
