"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note"
28015,NA,0,0,FALSE,0,0,"18784","PYF","Mo'Orea","FSM",NA,NA,NA,"no PAs in this range"
23759,NA,0,0,FALSE,0,0,"18784","PYF","Mo'Orea","FSM",NA,NA,NA,"no PAs in this range"
