"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
23146,4366075482.62066,0,0,FALSE,0,"11152","CHN","Bayan Har Mountains (nn)","CHN",NA,NA,NA,"no pas overlapping kba",0
15470,134796134546.274,1308681033.70146,2004,FALSE,2,"11152","CHN","Bayan Har Mountains (nn)","CHN",TRUE,"11152;11674;11980;12674;18422;19226;19390;19400;19401;20796;20797;20867",TRUE,"",0.00970859467229163
15470,134796134546.274,1701239704.08499,2018,FALSE,1,"11152","CHN","Bayan Har Mountains (nn)","CHN",TRUE,"11152;11674;11980;12674;18422;19226;19390;19400;19401;20796;20797;20867",TRUE,"",0.0126208344906284
