"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
7177,21502372.0738288,35741.9513938427,1980,TRUE,1,0.00166223295137495,"ZMB","Zambia"
7178,42313167.0064781,3615996.22261648,1958,FALSE,1,0.0854579431991671,"ZMB","Zambia"
7179,277014441.466873,35538779.159156,1953,FALSE,1,0.128292153185111,"ZMB","Zambia"
7180,4359556520.57753,40708593.3421247,1961,FALSE,1,0.00933778313229251,"ZMB","Zambia"
7180,4359556520.57753,4145045970.68502,1971,FALSE,4,0.950795327717397,"ZMB","Zambia"
7180,4359556520.57753,7515193.23475665,1983,FALSE,1,0.00172384351465205,"ZMB","Zambia"
7181,3151586698.37887,7768912.68023086,1970,TRUE,1,0.00246507979114999,"ZMB","Zambia"
7181,3151586698.37887,3143817730.5766,1971,TRUE,2,0.997534902718602,"ZMB","Zambia"
7182,7093665586.35955,237366.802496904,1956,TRUE,1,3.346179765696e-05,"ZMB","Zambia"
7182,7093665586.35955,3621474269.66566,1971,TRUE,2,0.51052227167706,"ZMB","Zambia"
7182,7093665586.35955,NA,1973,TRUE,2,NA,"ZMB","Zambia"
7182,7093665586.35955,NA,1974,TRUE,1,NA,"ZMB","Zambia"
7182,7093665586.35955,NA,1981,TRUE,1,NA,"ZMB","Zambia"
7183,4382278379.89501,92945531.8972268,1971,FALSE,1,0.0212094084035468,"ZMB","Zambia"
7183,4382278379.89501,4288001935.81128,1972,FALSE,1,0.978486888346424,"ZMB","Zambia"
7184,4691082792.40531,592719124.615275,1953,FALSE,1,0.126350173476978,"ZMB","Zambia"
7184,4691082792.40531,98409895.2291102,1970,FALSE,1,0.020978076828751,"ZMB","Zambia"
7184,4691082792.40531,990281850.931386,1971,FALSE,2,0.211098779270026,"ZMB","Zambia"
7184,4691082792.40531,47098647.8055645,1980,FALSE,1,0.0100400376394583,"ZMB","Zambia"
7185,84199426.484794,50183338.7194975,1971,FALSE,1,0.596005707100159,"ZMB","Zambia"
7185,84199426.484794,868267.641548753,1989,FALSE,1,0.010312037478136,"ZMB","Zambia"
7186,92827359.9619465,0,0,FALSE,0,0,"ZMB","Zambia"
7187,6268519459.80392,4864237752.13631,1971,FALSE,3,0.77597872724614,"ZMB","Zambia"
7187,6268519459.80392,454269450.377793,1973,FALSE,1,0.0724683800203122,"ZMB","Zambia"
7187,6268519459.80392,379.66540145874,1991,FALSE,1,6.0566997341764e-08,"ZMB","Zambia"
7188,21564608445.6117,45966319.41294,1970,FALSE,1,0.00213156290450959,"ZMB","Zambia"
7188,21564608445.6117,21445887653.1219,1971,FALSE,8,0.994494646504286,"ZMB","Zambia"
7189,98612443.8896217,1056899.65531123,1959,FALSE,1,0.0107177108042696,"ZMB","Zambia"
7190,40933376.3896727,0,0,FALSE,0,0,"ZMB","Zambia"
7191,1073302947.35482,77359.1509906054,1970,FALSE,1,7.20757836184635e-05,"ZMB","Zambia"
7191,1073302947.35482,977762377.898652,1973,FALSE,1,0.910984527069796,"ZMB","Zambia"
7192,3291072927.74628,186205.682823062,1971,FALSE,1,5.65790205538153e-05,"ZMB","Zambia"
7193,616038846.424998,38245714.7272799,1960,FALSE,1,0.0620832841130519,"ZMB","Zambia"
7193,616038846.424998,26246408.3350682,1964,FALSE,1,0.0426051189586202,"ZMB","Zambia"
7193,616038846.424998,63427407.4420748,1974,FALSE,1,0.10296007761549,"ZMB","Zambia"
7194,4142232765.14989,5229083.7592231,1971,FALSE,1,0.0012623828876101,"ZMB","Zambia"
7194,4142232765.14989,104397721.906652,1980,FALSE,1,0.0252032485438741,"ZMB","Zambia"
7194,4142232765.14989,4021440076.04512,1983,FALSE,1,0.970838749062815,"ZMB","Zambia"
7195,8460447373.93864,8432396190.80005,1971,FALSE,6,0.996684432643008,"ZMB","Zambia"
7196,4534770121.3078,4508938608.60413,1971,FALSE,4,0.994303677581738,"ZMB","Zambia"
7197,2545568290.90229,2517232550.915,1971,FALSE,3,0.988868599562401,"ZMB","Zambia"
7198,269502718.171363,34241637.7452093,1971,FALSE,1,0.127054888268091,"ZMB","Zambia"
7198,269502718.171363,189474554.208323,1972,FALSE,1,0.703052479373682,"ZMB","Zambia"
7199,111209224.647343,0,0,FALSE,0,0,"ZMB","Zambia"
7200,1609980782.89258,54804990.9601866,1971,FALSE,1,0.0340407733698045,"ZMB","Zambia"
7200,1609980782.89258,1507956641.66947,1972,FALSE,2,0.936630211796812,"ZMB","Zambia"
7201,433961545.342706,433961547.329829,1971,FALSE,2,1.00000000457903,"ZMB","Zambia"
7202,12782279805.0247,8240417642.7336,1971,FALSE,6,0.644675110264312,"ZMB","Zambia"
7202,12782279805.0247,24304262.829001,1972,FALSE,2,0.0019014028170035,"ZMB","Zambia"
7202,12782279805.0247,2063359.35163158,1991,FALSE,1,0.000161423422355414,"ZMB","Zambia"
7203,887056784.160183,1570584.80467132,1971,FALSE,1,0.00177055723231773,"ZMB","Zambia"
7204,146255769.842364,0,0,FALSE,0,0,"ZMB","Zambia"
7205,3124318004.66204,3116691279.35134,1971,FALSE,2,0.997558915161862,"ZMB","Zambia"
7206,40690106.6905936,0,0,FALSE,0,0,"ZMB","Zambia"
7207,282739021.625974,15689778.1205976,1958,FALSE,2,0.0554920860600312,"ZMB","Zambia"
19963,1502603255.6609,0,0,FALSE,0,0,"ZMB","Zambia"
19964,22003509.7510688,0,0,FALSE,0,0,"ZMB","Zambia"
24238,489627263.45477,91482125.0310943,1968,FALSE,1,0.186840341335578,"ZMB","Zambia"
24239,216894355.135018,4665121.25052364,1971,FALSE,1,0.0215087259768451,"ZMB","Zambia"
24242,126183366.191505,0,0,FALSE,0,0,"ZMB","Zambia"
24243,902262209.407122,861517355.040143,1971,FALSE,1,0.954841448592031,"ZMB","Zambia"
24243,902262209.407122,NA,1979,FALSE,1,NA,"ZMB","Zambia"
24244,2713838049.91128,687743674.128488,1971,FALSE,2,0.253421044837577,"ZMB","Zambia"
24244,2713838049.91128,2244476.47060859,1979,FALSE,1,0.000827048788221526,"ZMB","Zambia"
24244,2713838049.91128,1958917435.87794,1985,FALSE,2,0.721825473683655,"ZMB","Zambia"
24246,10389784.1745281,0,0,FALSE,0,0,"ZMB","Zambia"
24247,226952691.272208,72060878.0661001,1972,FALSE,1,0.317514974870555,"ZMB","Zambia"
24248,497429153.366215,12960282.1989836,1964,FALSE,2,0.0260545287932532,"ZMB","Zambia"
24248,497429153.366215,432885.662977219,1969,FALSE,1,0.000870245863250644,"ZMB","Zambia"
24235,667564201.731968,518659031.837667,1972,FALSE,1,0.776942547985689,"ZMB","Zambia"
NA,0,0,0,FALSE,0,NA,"ZMB","Zambia"
NA,0,0,0,FALSE,0,NA,"ZMB","Zambia"
NA,0,0,0,FALSE,0,NA,"ZMB","Zambia"
